BBC Radio 1	BBC One
Cheung Po Chun	Cheung Po Chun
Shibuya Station	Shibuya Station
John Whittingdale	John Whittingdale
bruch	Bruges
Northern Sami	Northern Sami
Asche zu Asche	Asche zu Asche
Susanna Kwan	Susanna Kwan
Gille Deleuze	Gilles Deleuze
SpiderMonkey	SpiderMonkey
The Condor Heroes	The Return of the Condor Heroes
Virginia Military Academy	Virginia Military Institute
Heo Youngsaeng	Heo Youngsaeng
Mongols in China	Mongols in China
Queen Mary University of London	Queen Mary University of London
Yakut	Yakut language
Sangju Sangmu Football Club	Sangju Sangmu FC
Paul Cezanne	Paul Cézanne
Kiribati	Kiribati
County Kerry	County Kerry
Dark Epic	Epica
Kansai Johnny 8	Kanjani Eight
Wang Shangyuan	Wang Shangyuan
Fidesz	Fidesz
King Higashikueriya Minoruhiko	Prince Naruhiko Higashikuni
Stefano Fiore	Stefano Fiore
George MDallas	George M Dallas
Masaaki Toma	Masaaki Toma
Xiao Ke	Xiao Ke
Frank Drake	Frank Drake
Tokugawa Iesato	Tokugawa Iesato
Croatian Football League	Croatian First Football League
Empress Xiaodexian	Empress Xiaodexian
Jafar Panahi	Jafar Panahi
Uruguay	Uruguay
Harrow Shapley	Harlow Shapley
Lord Byron	Lord Byron
Shimon Peres	Shimon Peres
Dimitri Pladus	Dimitri Petratos
Emperor Ninkō	Emperor Ninkō
Xianfeng Emperor	Xianfeng Emperor
€	Euro
Zigong City	Zigong
Abdurrahim ElKeib	Abdurrahim ElKeib
karakalpak	Karakalpaks
Klaus Iohannis	Klaus Iohannis
Yisa Yu	Yisa Yu
Costinha	Costinha
Osama bin Laden death	Death of Osama bin Laden
Vulgar Latin	Vulgar Latin
Austria National Under21 Football Team	Austria national under21 football team
Malcolm IV	Malcolm IV of Scotland
The Simpsons	The Simpsons
New Mexico	New Mexico
Nagqu Region	Nagqu Prefecture
Rain	Rain
Hiratsuka	Hiratsuka Kanagawa
Felix Klein	Felix Klein
Azerbaijan	Azerbaijan
MenuetOS	MenuetOS
Super Junior Donghae  Eunhyuk	Donghae  Eunhyuk
French people	French people
198485 European Cup Winners Cup	198485 European Cup Winners Cup
Nicolas III	Pope Nicholas III
Eddie Feneke Adami	Eddie Fenech Adami
Venceslau Brás	Venceslau Brás
Chinese American	Chinese Americans
1989  UEFA Cup 90	198990 UEFA Cup
Rust	Rust
Klaus Waviret	Klaus Wowereit
Hugh Dawding  1st Baron Dawding	Hugh Dowding 1st Baron Dowding
EskimoAleutian	EskimoAleut languages
Office Girls	Office Girls
Moments	Moments
Harvard Law School	Harvard Law School
Mo Yan	Mo Yan
Zhao Ziyang	Zhao Ziyang
Kongo language	Kongo language
Tsugi no Ashiato	Tsugi no Ashiato
Fengtai County	Fengtai County
Kasper Gusk	Kasper Kusk
Giambatista Vico	Giambattista Vico
Vincent Siew	Vincent Siew
Santa Clara County	Santa Clara County California
Giuliano Amato	Giuliano Amato
Su Tsengchang	Su Tsengchang
University of Vilnius	Vilnius University
Naomi Fonner Gyllenhaal	Naomi Foner Gyllenhaal
Shanghai Stadium	Shanghai Stadium
After Forever	After Forever
Love Angel Music Baby	Love Angel Music Baby
Liang Sicheng	Liang Sicheng
shuttle	Space Shuttle
Return of the Jedi	Return of the Jedi
Tyne Castle Stadium	Tynecastle Stadium
E3 airborne early warning aircraft	Boeing E3 Sentry
Thomas CavrierSmith	Thomas CavalierSmith
Dennis Ritchie	Dennis Ritchie
RomanSeleucid War	RomanSeleucid War
Meizhou Meixian District Hakka Football Club	Meixian Hakka FC
The Hero Next Door	Neighborhood Hero
Huzhou	Huzhou
Lassana Diarra	Lassana Diarra
KV Oostende	KV Oostende
FriendFeed	FriendFeed
Shanghainese	Shanghainese
Nefertiti	Nefertiti
Besiktas Gymnastics Club	Beşiktaş JK
Grand Duchess Olga Nikolaevna of Russia	Grand Duchess Olga Nikolaevna of Russia
maryland	Maryland
Jilin City	Jilin City
Battle of Berlin	Battle of Berlin
Charlotte	Charlotte
XenophonZolotas	Xenophon Zolotas
Lee Yong	Lee Yong
Carl Jung	Carl Jung
Ben E King	Ben E King
Democratic	Democratic Party
Gary Chaw	Gary Chaw
Lazio	Lazio
Empress Xiaoci Gao	Empress Xiaocigao
Manchu alphabet	Manchu alphabet
Victor Borisovich Khristenko	Viktor Khristenko
Zhang Zhijun	Zhang Zhijun
VOICE	Voice
US 1st Cavalry Division	1st Cavalry Division
The Sweet Escape	The Sweet Escape
leicester	Leicester
Abdul Qada Qida	Abdul Kader Keïta
Perak	Perak
Eric Garcetti	Eric Garcetti
Carlos Adriano Sosa Cruz	Carlos Adriano de Sousa Cruz
Fabricio Coloccini	Fabricio Coloccini
Emperor Yang of Sui	Emperor Yang of Sui
Köbi Kuhn	Köbi Kuhn
Dilma Rousseff	Dilma Rousseff
Rodion Yakovlevich Malinovsky	Rodion Malinovsky
Pakistan TehreekeInsaf	Pakistan TehreekeInsaf
Columbia University	Columbia University
Rhythm zone	Rhythm Zone
Meuse	Meuse
Sundanese people	Sundanese people
Ostrava	Ostrava
Burmese alphabet	Burmese alphabet
Sams Town	Sams Town
Massimiliano Allegri	Massimiliano Allegri
Angela Chang	Angela Chang
Chen Gongbo	Chen Gongbo
Casino Royale	Casino Royale
Central Kalimantan	Central Kalimantan
Atayal	Atayal language
Toyoake Aichi	Toyoake Aichi
Elvis Tsui	Elvis Tsui
Eunhyuk	Eunhyuk
Malayalam	Malayalam
Kitasenju Station	KitaSenju Station
Urbano Latazzi	Urbano Rattazzi
John Hickenlooper	John Hickenlooper
Green River	Green River
Banja Luka Warriors Football Club	FK Borac Banja Luka
Prince Naruhito	Naruhito Crown Prince of Japan
Koja Muhammad Nizamiddin Pasha	Koca Mehmed Nizamüddin Pasha
Perfect Crime	Perfect Crime
Nozu Michitsura	Nozu Michitsura
West Himalayish	West Himalayish languages
William Hague	William Hague
The Voyage of the Dawn Treader	The Voyage of the Dawn Treader
Moderate Party	Moderate Party
East China Normal University	East China Normal University
Malik Mansour Mirza Shao Sartana	Malek Mansur Mirza Shoa OSaltaneh
20132014 Europa League	201314 UEFA Europa League
FC Bayern Munich	FC Bayern Munich
Lothar Rendulic	Lothar Rendulic
The Legend of Zelda Series	The Legend of Zelda
Christs Hospital	Christs Hospital
Latin Alphabet	Latin script
FA Cup	FA Cup
Dai Nana Shō Utsukushikutte Gomen ne	Dai Nana Shō Utsukushikutte Gomen ne
Moscow State University	Moscow State University
Taipei Metro Line 3	Taipei Metro Line 3
Chinese Canadian	Chinese Canadians
Leiden	Leiden
Ross McGormac	Ross McCormack
Chinese characters	Chinese characters
Emma Bonino	Emma Bonino
Time after time On the streets of falling flowers	Time After Time
Steven Ma	Steven Ma
Canary Islands	Canary Islands
Jeremain Lens	Jeremain Lens
Megumi Takamoto	Megumi Takamoto
Airbus A310	Airbus A310
Universities UK	Universities UK
Vichy France	Vichy France
Super Electronic Biochemical Man	Choudenshi Bioman
Ariège	Ariège
Wangchuck Dynasty	House of Wangchuck
KRC Genk	KRC Genk
FAMAS Assault Rifle	FAMAS
Cape Canaveral Air Force Station Space Launch Complex 41	Cape Canaveral Air Force Station Space Launch Complex 41
Latvian	Latvian language
Shenzhou II	Shenzhou 2
Richard Burton	Richard Burton
Ekstraklasa	Ekstraklasa
Aristotle	Aristotle
Maria Feodorovna	Maria Feodorovna
Virtual Console	Virtual Console
Boeing 36780	Boeing 36780
Stephen Ireland	Stephen Ireland
Jason Derulo	Jason Derulo
Angelababy	Angelababy
Sigmundur David Gunlaugsson	Sigmundur Davíð Gunnlaugsson
LINE	Line
Leslie Lamport	Leslie Lamport
Franklin County	Franklin County Washington
Sanchez Watt	Sanchez Watt
Wales	Wales
Park Geunhye	Park Geunhye
John McEwan	John McEwen
Jores Okore	Jores Okore
Cagliari Football Club	Cagliari Calcio
Huang Qifan	Huang Qifan
Nicholas Katzenbach	Nicholas Katzenbach
Bruno Alves	Bruno Alves
John de Robeck	John de Robeck
Negai ga Kanau Koro	Dareka no Negai ga Kanau Koro
Northern England Premier League	Northern Premier League
City of Canterbury	City of Canterbury
Manú	Manú
Harbin	Harbin
Colentis Paulista Sports Club	Sport Club Corinthians Paulista
Dean FCO	Dijon FCO
Toghon Temür	Toghon Temür
Ok Taecyeon	Ok Taecyeon
Malta	Malta
Faouzi Ghoulam	Faouzi Ghoulam
Belarus	Belarus
Kevin Cash	Kevin Cash
assam	Assam
Robert Gates	Robert Gates
Etolian War	Aetolian War
Lotus	Lotus
Cappadocia	Cappadocia
Islamic Republic of Iran Air Force	Islamic Republic of Iran Air Force
Echoes Silence Patience  Grace	Echoes Silence Patience  Grace
Wigan Athletic FC	Wigan Athletic FC
Israel national football team	Israel national football team
Republic of Macedonia	Republic of Macedonia
Carrie Lam	Carrie Lam
Tiny C Compiler	Tiny C Compiler
Ju Jihoon	Ju Jihoon
Mark Robson	Mark Robson
ALL MY BEST	All My Best
Thomas More	Thomas More
Kathy Chow	Kathy Chow
Hermann Emile Fischer	Hermann Emil Fischer
Ben Sass	Ben Sasse
Louisiana	Louisiana
Orange Marmalade	Orange Marmalade
Twilight	Twilight
The Iraq War	Iraq War
Shibuya	Shibuya
Ishak Pasha	Ishak Pasha
Jan Neruda	Jan Neruda
Wellington International Airport	Wellington International Airport
Neyagawa City	Neyagawa Osaka
Marilyn Manson	Marilyn Manson
Boleslav Football Club	FK Mladá Boleslav
Liberty Korea Party	Saenuri Party
Duke of Brittany	Arthur I Duke of Brittany
Fukuoka Prefecture	Fukuoka Prefecture
BBC Radio 2	BBC Two
Sheffield	Sheffield
red	Red
Biyani Straustrup	Bjarne Stroustrup
Sexy Free  Single	Sexy Free  Single
ava	Inwa
County Louth	County Louth
Broadwell Microarchitecture	Broadwell
Sima Zhao	Sima Zhao
US Army Rangers	United States Army Rangers
Kaohsiung International Airport	Kaohsiung International Airport
Cherie Blair	Cherie Blair
GNU Hurd	GNU Hurd
Henry Martin Robert	Henry Martyn Robert
Yeongjo of Joseon	Yeongjo of Joseon
University of Lausanne	University of Lausanne
Mehdi Goli Hidayat	Mehdi Qoli Hedayat
Limingshui Sports Team	Rimyongsu Sports Club
British Aerospace Systems	BAE Systems
Cao Xueqin	Cao Xueqin
List of counties in Missouri	List of counties in Missouri
Central African Republic	Central African Republic
Northern Formosan languages	Northern Formosan languages
Slash	Slash
Friedrich Schelling	Friedrich Wilhelm Joseph Schelling
Governor of Washington	List of Governors of Washington
Kayun Farmhouse Course	Craven Cottage
Armenia	Armenia
Henrik Ibsen	Henrik Ibsen
Sarpsborg 08 FF	Sarpsborg 08 FF
parachute	Parachutes
City TV	Talentvision
Roh Moohyun	Roh Moohyun
bangalore	Bangalore
Huang Shengyi	Huang Shengyi
Chinas Got Talent	Chinas Got Talent
Kuan Chungming	Kuan Chungming
Hu Chunhua	Hu Chunhua
The Empire Strikes Back	The Empire Strikes Back
Louis XVI	Louis XVI of France
Nawaz Sharif	Nawaz Sharif
James Beattie	James Beattie
Xichuan County	Xichuan County
Henry Clinton	Henry Clinton
Samsung Galaxy Note 101	Samsung Galaxy Note 101
Trần Đức Lương	Trần Đức Lương
F	F
Trickster	Trickster
Edward Shor	Edward Short Baron Glenamara
Bengali	Bengali alphabet
Zhou Xiaochuan	Zhou Xiaochuan
Zara Phillips	Zara Phillips
Foshan	Foshan
Edgar Davis	Edgar Davids
Dnipropetrovsk Football Club	FC Dnipro Dnipropetrovsk
Highs and Lows	Highs and Lows
Oshkosh	Oshkosh Nebraska
Marius Bilashko	Marius Bilașco
city of north vancouver	North Vancouver
University of Exeter	University of Exeter
Karel Popowski	Karel Poborský
Manuel Mejuto González	Manuel Mejuto González
JPN	JPN
Bruno Menegger	Bruno Meneghel
Joanjo Shelway	Jonjo Shelvey
Kevin Durant	Kevin Durant
Portimonense Athletic Club	Portimonense SC
Oxfordshire	Oxfordshire
Mao Anqing	Mao Anqing
DIE	DIE
Rene Viviani	René Viviani
John Tukey	John Tukey
Rong Hao	Rong Hao
Jack Black	Jack Black
Chatichai Choonhavan	Chatichai Choonhavan
Greenland	Greenland
If I Aint Got You	If I Aint Got You
Kim Joon	Kim Joon
Portugal under21 national football team	Portugal national under21 football team
Zhang Zuolin	Zhang Zuolin
Alexander Sergeyevich Pushkin	Alexander Pushkin
Sunjong of Korea	Sunjong of Korea
Chile National Football Team	Chile national football team
George Curzon 1st Marquis of Curzon of Kedleston	George Curzon 1st Marquess Curzon of Kedleston
Hispañola	Hispaniola
Yoran Persson	Göran Persson
John YBrown	John Y Brown
casper	Casper Wyoming
Saeima	Saeima
Royal Australian Navy	Royal Australian Navy
Yaya Touré	Yaya Touré
Nokia Lumia 520	Nokia Lumia 520
Thado Minsaw	Thado Minsaw
TVBSAsia	TVBSAsia
Yannis Varoufax	Yanis Varoufakis
bermuda	Bermuda
African Union	African Union
Oda Nobunaga	Oda Nobunaga
Hong Kong Federation of Trade Unions	Hong Kong Federation of Trade Unions
Ishikawa Naohiro	Naohiro Ishikawa
Toby Alderweireld	Toby Alderweireld
Brahmaputra River	Brahmaputra River
England Womens National Football Team	England womens national football team
Danny Brandt	Danny Blind
Thái Nguyên Province	Thái Nguyên Province
Hakka	Hakka Chinese
The Flash	The Flash
Bath	Bath Somerset
Sun Feifei	Sun Feifei
timorleste	East Timor
Lee Youngae	Lee Youngae
blackpool	Blackpool
Sherpa	Sherpa language
Amsterdam	Amsterdam
East Java	East Java
Simply Wonderful	Simply Wonderful
Scheme	Scheme
Regional Municipality of York	Regional Municipality of York
Nagasaki Success Pill	VVaren Nagasaki
Bangalore Football Club	Bengaluru FC
Xiangshan County Zhejiang	Xiangshan County Zhejiang
Windows Server 2003	Windows Server 2003
Girls  Peace	Girls  Peace
Beverly McLachlin	Beverley McLachlin
Marcus Aurelius	Marcus Aurelius
Wang Gengwu	Wang Gungwu
Nobel Prize in Physics	Nobel Prize in Physics
Chris Murphy	Chris Murphy
Tromso	Tromsø
Quebec French	Quebec French
Wang Yong	Wang Yong
SV Darmstadt 98	SV Darmstadt 98
Luang Phibun Songkham	Plaek Phibunsongkhram
North Sydney Council	North Sydney Council
Tahitian football team	Tahiti national football team
Zwolle	Zwolle
Diego Lugano	Diego Lugano
Kansas City Athletic Conference	Sporting Kansas City
Bangladesh President	President of Bangladesh
Fred Cheng	Fred Cheng
Alaungpaya	Alaungpaya
Andy Keoge	Andy Keogh
Prince Xavier of BourbonParma	Prince Xavier of BourbonParma
Penny Wong	Penny Wong
Tuvan	Tuvan language
CentaurusCentaur Launch Vehicle	AtlasCentaur
Tokyo	Tokyo
Passion	Passion
Fudan University	Fudan University
Serge Ignashevic	Sergei Ignashevich
Always and Ever	Always and Ever
Stuart Taylor	Stuart Taylor
Nguyễn Sinh Hùng	Nguyễn Sinh Hùng
Jan Antonescu	Ion Antonescu
Showtek	Showtek
Maid Sama	Maid Sama
Felipe Melo	Felipe Melo
Ignatius Loyola	Ignatius of Loyola
Abe Akie	Akie Abe
Paul Scorsese	Paul Scholes
Seo Taiji	Seo Taiji
PhotoRealistic RenderMan	RenderMan
CD Guadalajara	CD Guadalajara
Igbo	Igbo language
Timo Hildebrand	Timo Hildebrand
Howell Cobb	Howell Cobb
Farouq Legari	Farooq Leghari
Shanda Rhimes	Shonda Rhimes
Anthony Kennedy	Anthony Kennedy
Stanley Miller	Stanley Miller
Salford City FC	Salford City FC
Lubos Michael	Ľuboš Micheľ
Seemann	Seemann
Hajime Sugiyama	Hajime Sugiyama
NVIDIA GeForce 200	GeForce 200 series
SEASONS	Seasons
Yuki Kajiura	Yuki Kajiura
Ferdinand II of the Two Sicilies	Ferdinand II of the Two Sicilies
Oreille River	Pend Oreille River
Gustav Heinemann	Gustav Heinemann
Bengbu South Railway Station	Bengbu South Railway Station
Takahiro Matsumoto	Tak Matsumoto
Vladimir Mikhailovich Komarov	Vladimir Komarov
Shenzhou 8	Shenzhou 8
Samir Rifay	Samir Rifai
Mario Balotelli	Mario Balotelli
Balinese	Balinese language
Peter Phillips	Peter Phillips
zoetermeer	Zoetermeer
Frederick Prince of Hohenzollern	Frederick Prince of Hohenzollern
Loyola Marymount University	Loyola Marymount University
Penn Nouth	Penn Nouth
Jody WilsonRaybould	Jody WilsonRaybould
Transformers	Transformers
AEK Larnaca Football Club	AEK Larnaca FC
Prince Bernhard of LippeBiesterfeld	Prince Bernhard of LippeBiesterfeld
Envoy Aviation	Envoy Air
JAPONESQUE	Japonesque
Samsung Galaxy S4	Samsung Galaxy S4
Czechoslovak government in exile	Czechoslovak governmentinexile
Flash	Flash
Chris Watson	Chris Watson
Peter Crouch	Peter Crouch
Know nothing	Know Nothing
Edward Yang	Edward Yang
DreamWorks	DreamWorks
The Last Emperor	The Last Emperor
Trinity College Dublin	Trinity College Dublin
Hacı Pasha	Hacı Pasha
Pingdingshan	Pingdingshan
MASSIVE WONDERS	Massive Wonders
Austrian Empire	Austrian Empire
Straits Exchange Foundation	Straits Exchange Foundation
Navy Distinguished Service Medal	Distinguished Service Medal
Kalk Samen Kuri no Hana	Kalk Samen Kuri no Hana
Black Wind Grandma	Sky Witch
Gurung	Gurung language
Malaysian Islamic Party	PanMalaysian Islamic Party
Giovanni Giolitti	Giovanni Giolitti
Paul H ONeill	Paul H ONeill
Inner Mongolia Zhongyou FC	Nei Mongol Zhongyou FC
John JCrittenden	John J Crittenden
Superfly	Superfly
James Troisi	James Troisi
University at Buffalo	University at Buffalo
Beat It	Beat It
papua new guinea	Papua New Guinea
Revolver	Revolver
Royal Netherlands Army	Royal Netherlands Army
Xavier Bettel	Xavier Bettel
Arthur Fadden	Arthur Fadden
Ganges	Ganges
Winfield Scott Hancock	Winfield Scott Hancock
Android	Android
Wayne State University	Wayne State University
maine	Maine
Eric Shinseki	Eric Shinseki
Uli Hoeness	Uli Hoeneß
Arthur Conan Doyle	Arthur Conan Doyle
The Third Battle of Kharkiv	Third Battle of Kharkov
Malcolm III	Malcolm III of Scotland
United Kingdom Supreme Court	Supreme Court of the United Kingdom
Trần Thiếu Đế	Trần Thiếu Đế
Honolulu International Airport	Honolulu International Airport
Ken Hung	Ken Hung
Indian Grand Prix	Indian Grand Prix
Candy Chang	Candy Chang
Licinius	Licinius
Sakharov Prize	Sakharov Prize
Wish and Switch	Wish and Switch
Nurlan Balkimbayev	Nurlan Balgimbayev
Osasuna Athletic Club	CA Osasuna
Zhuang Jiajie	Zhuang Jiajie
He Yingqin	He Yingqin
Zhou Libo	Zhou Libo
Zhao Peng	Zhao Peng
Yokohama International Arena	International Stadium Yokohama
City of St Albans	City of St Albans
Confederation of Arab Football Associations	Union of Arab Football Associations
Shaoguan	Shaoguan
Stanko Todorov	Stanko Todorov
Worcester Massachusetts	Worcester Massachusetts
Wonderful Hands	Healing Hands
PSV Yan Haofen	PSV Eindhoven
A18 Wasp Fighter Attack	A18 Hornet
DebreziniVSC	Debreceni VSC
Thein Sein	Thein Sein
Chōfu Tokyo	Chōfu Tokyo
Oakland	Oakland California
Vincenzo Montella	Vincenzo Montella
Adolf Frederick	Adolf Frederick King of Sweden
springfield	Springfield Illinois
Prince Leopold	Prince Leopold Duke of Albany
CS Marítimo	CS Marítimo
Nancy Sit Ka Yin	Barn swallow
Tao Hong	Tao Hong
Kansas City Missouri	Kansas City Missouri
Zulfikar Ali Bhutto	Zulfikar Ali Bhutto
Zhang Zhen	Zhang Zhen
Hoshiarpur district	Hoshiarpur district
Koei Tecmo	Koei Tecmo
Ranger 5	Ranger 5
David I	David I of Scotland
Đắk Lắk	Đắk Lắk Province
Yihara Station	Maibara Station
Neil Collins	Neill Collins
French Ligue 1	Ligue 1
Colin Trevorrow	Colin Trevorrow
Jerry Brown	Jerry Brown
Donald Trump	Donald Trump
Emperor Bunmu	Emperor Monmu
Suki de Suki de Suki de Anata Dake ga	Anata Dake ga
NVIDIA GeForce 9	GeForce 9 series
Jake Peavy	Jake Peavy
List of vice premiers of the Republic of China	List of vice premiers of the Republic of China
BBC World News	BBC World News
Dudley Senanayake	Dudley Senanayake
Fahrenheit	Fahrenheit
University of Hull	University of Hull
Daryl Janmaat	Daryl Janmaat
FrenchPrussian War	FrancoPrussian War
Mark Furnet Monet	Marc Forné Molné
Alexander II of Russia	Alexander II of Russia
Vĩnh Long Province	Vĩnh Long Province
JeanAlain Boumsson	JeanAlain Boumsong
Pope Pius XII	Pope Pius XII
Alexander Ostrovsky	Alexander Ostrowski
Numancia Football Club	CD Numancia
Dutch Republic	Dutch Republic
Mustafa Abdul Jalil	Mustafa Abdul Jalil
Niccolò Machiavelli	Niccolò Machiavelli
AMD Athlon 64 X2	Athlon 64 X2
Tami Baldwin	Tammy Baldwin
One	One
Pierre Freyden	Pierre Frieden
Ezhou	Ezhou
Fabian Ernst	Fabian Ernst
Dr	Wild
NASA	NASA
Ali Habib Mahmood	Ali Habib Mahmud
George V of Hanover	George V of Hanover
Silvio Berlusconi	Silvio Berlusconi
IO Interactive	IO Interactive
Malaysian Chinese	Malaysian Chinese
Ministry of Foreign Affairs	Ministry of Foreign Affairs
Jordi Tarrés	Jordi Tarrés
Hokkaido Nippon Ham Fighter	Hokkaido NipponHam Fighters
Chewa language	Chewa language
James K Polk	James K Polk
Fly to the Sky	Fly to the Sky
Daniel Klapner	Daniel Kleppner
University of Detroit Mercy	University of Detroit Mercy
Lauda Airlines	Lauda Air
hernanes	Hernanes
United States dollar	United States dollar
Emperor Kogen	Emperor Kōgon
Kunnao Nayar	Kunal Nayyar
List of US Supreme Court justices	List of Justices of the Supreme Court of the United States
Nintendo Network	Nintendo Network
Rainer Maria Rilke	Rainer Maria Rilke
Joseph Visarionovich Stalin	Joseph Stalin
Bii	Bii
Lisa BrennanJobs	Lisa BrennanJobs
Timothy Dalton	Timothy Dalton
Tolai language	Tolai language
Northern Mariana Islands	Northern Mariana Islands
Burwood Council	Municipality of Burwood
Ronny Carlos da Silva	Ronny Carlos da Silva
Emirate of Jebel Shamar	Emirate of Jabal Shammar
Babe Ruth	Babe Ruth
ChienShiung Wu	ChienShiung Wu
Tabula Rasa	Tabula Rasa
P V Narasimha Rao	P V Narasimha Rao
Inabe	Inabe Mie
Kingdom of Castile	Kingdom of Castile
The Bourne Supremacy	The Bourne Supremacy
Real Brugge	Club Brugge KV
Minobu	Minobu Yamanashi
Nagano City	Nagano Nagano
SURREAL	Surreal
Jacques ChabonDelma	Jacques ChabanDelmas
AlArabi SC	AlArabi SC
Malaysia	Malaysia
Min	Min
Slavia Sports Club Prague	SK Slavia Prague
Wu Bangguo	Wu Bangguo
The Big Bang Theory	The Big Bang Theory
Maldives	Maldives
malibu	Malibu California
The Emperor of India	Emperor of India
Holler	Holler
Pat Toomey	Pat Toomey
Sass	Sass
Zbigniew Messner	Zbigniew Messner
Luo Senwen	Luo Senwen
Tian Gang	Gang Tian
Sheezus	Sheezus
Wojciech Szczesny	Wojciech Szczęsny
Peter II	Peter II of Yugoslavia
Black Sea	Black Sea
Zhaoqing	Zhaoqing
Socialist	Socialist Party
Free Democratic Party	Free Democratic Party
Henri Grand Duke of Luxembourg	Henri Grand Duke of Luxembourg
Fire Ambition 3	Burning Flame III
Zoran Milanovic	Zoran Milanović
Mahmud Pasha Angelović	Mahmud Pasha Angelović
All for You	All for You
Harold Holt	Harold Holt
Richard Nilay	Richard Naylor
Hong Kong	Hong Kong
Tang Zhongzong	Emperor Zhongzong of Tang
Robert Aikent	Robert Grant Aitken
ALL FOR YOU	All for You
DiVA	Diva
Charles Darwin	Charles Darwin
Bordeaux FC	FC Girondins de Bordeaux
Flavor Of Life	Flavor of Life
Yang Jiechi	Yang Jiechi
Leopold III	Leopold III of Belgium
BaalMamatyili	Bari Mamatil
Ryuhei Maruyama	Ryuhei Maruyama
Avila Province	Province of Ávila
Merry Streep	Meryl Streep
GE Aviation	GE Aviation
Infanta Cristina of Spain	Infanta Cristina of Spain
Nagai Kensuke	Kensuke Nagai
hawkesbury	City of Hawkesbury
CBS	CBS
Guatemala	Guatemala
University of Florida	University of Florida
Lee Jung Hyun	Lee Junghyun
Frederik Willem de Klerk	F W de Klerk
Miracles	Miracles
Prince Emmanuel	Prince Emmanuel of Belgium
Averroes	Averroes
North Sumatra	North Sumatra
UKISS	UKISS
Argentina National Football Team	Argentina national football team
Hongik University	Hongik University
Swipe Tap Love	Swipe Tap Love
SaxonyCoburgGotha	House of SaxeCoburg and Gotha
Hike Kamerlin Onnes	Heike Kamerlingh Onnes
Windows 10Mobile	Windows 10 Mobile
Xincai County	Xincai County
Xiao Yang	Xiao Yang
Key	Key
Boys Meet U	Boys Meet U
Michelle Obama	Michelle Obama
Gerard Ambassa Guy	Gerard Ambassa Guy
Tang Xuanzong	Emperor Xuanzong of Tang
Douglas MacArthur	Douglas MacArthur
Valais	Valais
Albert with Prince	Albert Prince Consort
City of Rockdale	City of Rockdale
2014 Chinese Football Association Cup	2014 Chinese FA Cup
HNK Hajduk Split	HNK Hajduk Split
Pope Eugene IV	Pope Eugene IV
The Borgia Family	House of Borgia
Osaka Flying Foot	Gamba Osaka
He Guoqiang	He Guoqiang
Holy See	Holy See
University of Utah	University of Utah
Luhansk Peoples Republic	Luhansk Peoples Republic
IW engine	IW engine
Zhuang Jing Huang Concubine	Imperial Noble Consort Zhuangjing
Mihai I	Michael I of Romania
Marcus Greiner	Markus Greiner
Kim Hyun Joong	Kim Hyunjoong
Lee Pace	Lee Pace
Oliver Kahn	Oliver Kahn
Ben Bernanke	Ben Bernanke
Funcinpec Party	FUNCINPEC
Alex Bogomolov	Alex Bogomolov Jr
He Yang	He Yang
Japanese Imperial Family	Imperial House of Japan
Disney Channel	Disney Channel
FM Towns	FM Towns
Mitsubishi Heavy Industries	Mitsubishi Heavy Industries
Natalie Bennett	Natalie Bennett
Jacques Rogge	Jacques Rogge
30 Rock	30 Rock
Ella Chen	Ella Chen
Paraguay War	Paraguayan War
Taliban	Taliban
Sony Xperia Z1	Sony Xperia Z1
Prime Minister of Algeria	Prime Minister of Algeria
University of Geneva	University of Geneva
Chu	Chu
Kym	Kym
Roman Road Lukagu	Romelu Lukaku
Mark Pryor	Mark Pryor
Gene Macun	Jean Makoun
Chiayi County	Chiayi County
Dai 2 Seichōki	Dai 2 Seichōki
Mari El	Mari El
Empress Jitō	Empress Jitō
Taiwan Railway Administration	Taiwan Railways Administration
Colombia	Colombia
West Ham United Football Club	West Ham United FC
south dakota	South Dakota
Oh Beomseok	Oh Beomseok
Princess Helena of Waldeck and Pyrmont	Princess Helena of Waldeck and Pyrmont
Queens of Diamonds and Hearts	Queens of Diamonds and Hearts
Evanston	Evanston Illinois
Victor Andreevich Yushchenko	Viktor Yushchenko
Chiang Weiling	Chiang Weiling
No3b	No3b
Nicola Rizzoli	Nicola Rizzoli
Thomas AHendricks	Thomas A Hendricks
Salmon P Chase	Salmon P Chase
Prince Caspian	Prince Caspian
2010 Winter Olympics	2010 Winter Olympics
Tatar	Tatar language
The Hound of the Baskervilles	The Hound of the Baskervilles
Infante Carlos Count of Montemolin	Infante Carlos Count of Montemolin
bahamas	The Bahamas
Mac OS X Leopard	Mac OS X Leopard
Swiss German	Swiss German
Rice University	Rice University
Tianjin Jingtie Locomotive Football Club	Jingtie Locomotive FC
Supreme Court of Canada	Supreme Court of Canada
Alex OxladeChamberlain	Alex OxladeChamberlain
Sydney CBD	Sydney central business district
Xperia	Sony Xperia
Marek Jankulovsky	Marek Jankulovski
Auguste Viktoria	Augusta Victoria of SchleswigHolstein
Zamslang Sambu	Jamsrangiin Sambuu
Abby Road	Abbey Road
Matthew Bellamy	Matt Bellamy
Ministry of Economic Affairs of Taiwan	Ministry of Economic Affairs
Vladimir Antonovich Ivashko	Vladimir Ivashko
Major League Soccer	Major League Soccer
Han Xue	Han Xue
SM Entertainment	SM Entertainment
Panama	Panama
