BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Wally West	Will Arnett,Bill Nelson,Chris Weitz,Carl Levin,Katy Perry,Pauleta,Wang Zhen,Budapest,Belfast,Illinois,Wilber Pan,Cantonese,David Stern,Gary Locke,Maxis,Sunny Hill,Miloš Zeman,Pat Roberts,Cao Cao,William Chan,Taylor Swift,West Java,Blake Ross,Star Wars,North Sea,Ledley King,Wind song,Carl Valeri,AlQaeda,Belize,Niels Bohr,Katowice,Lollipop F,Socrates,Mao Fumei,Milan Susak,Harold Urey,Clojure,Mazda Cosmo,Zhang Yesui,HTC First,Bashkirs,Haarlem,Belgrade,Jay album,Game Center,Apple Watch,Qantas,WatchOS,Wally West
English	Tigris,Belize,Maxis,Egirls,Nightwish,Inuyasha,Shueisha,Berlin,Paris,Punjabis,Mestizo,EXID,Bird,Zenica,Belfast,Sammir,Pauleta,Sendai,Corsier,Jining,Delhi,Clang,Tong Liya,Hebei,Esbjerg,Quito,Maebashi,Ovid,SimCity,Kashiwa,OneDrive,Ranger 2,Guangxi,Yang Xu,Ranger 6,Qantas,Yan Xishan,Brazil,Madrid,Berbers,Americas,Nevada,Croatia,Chicken,Goa,Oregon,Armenia,Yemen,Nampo,English language
Manco Inka Yupanki	Mana Iwabuchi,Marc Janko,Marco Di Vaio,Kamchatka Krai,Hakan Yakin,Rainie Yang,Milan Susak,Mao Fumei,Marion Raven,Malcolm Fraser,Hausa language,Yan Xishan,Takasaki Gunma,Nanako Matsushima,Daur language,Duncan Oughton,Naif Hazazi,Manuel Valls,Yuan Shanshan,Tang Shaoyi,Donnie Yen,Mong Kok Stadium,Dai Jiaoqian,Santander Spain,Takatsuki Osaka,Angelino Alfano,Kawasakiku Kawasaki,Hayato Ikeda,Jack Kerouac,Aung San Suu Kyi,Pedro I of Brazil,Maya Yoshida,Fabio Capello,Miloš Zeman,Mongol Empire,Carlos Santana,Iron Man,Túpac Huallpa,Amintore Fanfani,Nilo Peçanha,Nivkh language,Qiangic languages,Fahri Korutürk,Nacho Monreal,Yūko Obuchi,Leandro Guaita,Limbu language,Luo Gan,Takuya Terada,Manco Inca Yupanqui
State University of New York	University of Freiburg,University of Jena,University of Portland,University of Alabama,University of Notre Dame,University of Turin,University of Zurich,University of Liverpool,University of Florence,Clark University,Tulane University,University of Mississippi,Wuhan University,Leiden University,Brown University,Inha University,Stanford University,University of Saskatchewan,Brandeis University,Cornell University,Nankai University,Sichuan University,Auburn University,Party of Regions,Prince Nikolai of Denmark,University of Texas at Austin,Prime Minister of Yemen,Universal Orlando,Northeastern University,Collectivity of Saint Martin,Mayor of New Taipei,Republic of Genoa,San Antonio Spurs,Chancellor of Germany,Shire of Winton,Prime Minister of Slovenia,Iwate Prefecture,Stefan Effenberg,Otto Grotewohl,Rise of Nations,Universal Parks  Resorts,Stanisław Mikołajczyk,Haha entertainer,San Jose State University,Mapúa Institute of Technology,University of Economics Prague,Salt Lake City,Communist Party of Cuba,Labour Party Hong Kong,State University of New York
SO female	Yao people,Cinemax,St Albans,AS Roma,FC Seoul,OneDrive,FC Goa,Pauleta,AlQaeda,Sammir,Shueisha,Setagaya,Socrates,OpenJDK,Belgrade,Oregon,FC Metz,Sakhalin,DC Comics,Nevada,Sendai,Belfast,Belize,Odawara,Alkmaar,Yemen,Star Wars,Akhenaten,H EP,Egirls,Heartful,Sunny Hill,Li Keqiang,Shanghai,TRAX band,SDN48,Kaká,Ich will,SS501,Clojure,AS Nancy,FC Basel,Leessang,Modula2,Nampo,Camellia,ND Gorica,SimCity,Soft rock,So Girls
Madonna	Madrid,Pauleta,Moon EP,Monaco,Maxis,Armenia,Cao Cao,Modula2,Goa,Astana,Lyon,Kashiwa,Yunnan,Qantas,Palencia,Yanan,Naha,Camellia,McLaren,Kaká,Linux,FC Goa,Sammir,BBC One,Croatia,Pakistan,Yokohama,Zenica,Oregon,Yang Xu,AlQaeda,Luo Gan,AC Omonia,Cameroon,GDragon,Jahangir,Busan,Xiaomi,Nevada,Lu Xun,Mestizo,MeeGo,Iron Man,WatchOS,Madagascar,Maebashi,Katowice,Nampo,Botswana,Madonna entertainer
OUT WORKS  COLLABORATION BEST	TRAX band,HTC One V,OS X Mountain Lion,Rose Bowl Game,Run Run Shaw,City of Canada Bay,Mohamed Ould Abdel Aziz,Starcamp EP,Even If Ken Hirai song,One Arashi album,Yellow Coldplay song,Over Load,The Siren song,Will Champion,Oppa Oppa,Monthly Comic Alive,Star Awards 2001,Dream of Love Adventure Time,The Magicians Nephew,AS Nancy,PFC Litex Lovech,Far Away Ayumi Hamasaki song,Ordos City,WatchOS,Dont Wanna Cry,Nokia Lumia 800,TVBSAsia,TVBS,Tong Liya,Shaquille ONeal,United Left Spain,IOS,Lekhwiya SC,Melbourne City FC,Red Hot Chili Peppers,Taipei Metro Line 5,Toyota Aichi,ABBA,The Flash 2014 TV series,An Lushan Rebellion,Rose Bowl stadium,Will Arnett,Al Ain FC,Lu Wei politician,Tropical Storm Hanna 2002,Conan OBrien,Worcester City FC,Tim BernersLee,Todor Burmov,Out Works  Collaboration Best
Dai Jiaoqian	Xu Xiangqian,Chen Jianbin,Yan Xishan,Liu Jian,Li Keqiang,Tang Shaoyi,Li Ruihuan,Yuan Shanshan,Hu Jintao,Cao Cao,Valencian,William Chan,Rainie Yang,Sakhalin,Park Jungmin,Xiaomi,Pakistan,AC Omonia,DC Comics,Lin Fengjiao,Deng Yingchao,Luo Gan,Yanan,Daur language,Zhang Wentian,Guo Jinlong,Mao Fumei,Tajimi Gifu,Jining,Donnie Yen,Yao people,Kashiwa,Maebashi,Karakoram,Wilber Pan,Alan Sheehan,Thuringia,Camellia,Jack Kerouac,Hakan Yakin,Naif Hazazi,Jahangir,Animax Asia,Gary Cahill,Bulgaria,West Java,Piedra Spain,Ruhrstadion,Hitachi,Dai Jiaoqian
Isotani Rensuke	Ibaraki Osaka,Zhang Yesui,Donnie Yen,Zhang Wentian,Milan Susak,Ronan Keating,Iron Man,Ashkan Dejagah,Altai Republic,Bosnian language,Romansh language,Cantonese,Kuniaki Koiso,Conan OBrien,Yuan Shanshan,Yan Xishan,Iwate Prefecture,Ivan Silayev,Sven Bender,Inha University,Hans Geiger,Wang Zhen,John Bercow,Li Ruihuan,Yang Xu,John Roberts,Sean Connery,Gary Locke,Kushan Empire,Blake Ross,Marc Janko,Bertrand Delanoë,Daur language,Giordano Bruno,Brian Wilson,Luigi Einaudi,Astana,Flora Finch,Hausa language,Jack Kerouac,Kashmiri language,Robbie Keane,Yao people,Aymara language,Montesquieu,Paraná state,Donald Rumsfeld,Game Center,Star Wars,Rensuke Isogai
Hong Kong Group C A Football League	Hong Kong Third Division League,Hong Kong Football Association,Mali national football team,Finland national football team,Morocco national football team,Serbia national football team,Sweden national football team,Wales national football team,Belgian Pro League,Indian Super League,France womens national football team,Roberto Carlos footballer,City Football Group,201415 UEFA Europa League,Michael Marrone footballer,2014 AFC Champions League,201213 UEFA Europa League,Swiss Super League,Shandong Provincial Stadium,Vålerenga Fotball,Mong Kok Stadium,Bon Voyage Kumi Koda album,France national under21 football team,Royal Dutch Football Association,Latvian Higher League,Kara South Korean band,Lima footballer,201314 Premier League,Vincenzo Montella,Windows Photo Gallery,AC Sparta Prague,Donald III of Scotland,Kingdom of Yugoslavia,University of Economics Prague,Kingdom of Italy,House of Hohenzollern,Gwangju World Cup Stadium,FrancoProvençal language,Indonesian language,Northrop Corporation,Western Yugur language,Wang Liang footballer born 1989,Order of Australia,Boeing Commercial Airplanes,National Front France,Los Angeles Clippers,Ada programming language,Antonio López footballer born 1981,Dream of Love Adventure Time,Hong Kong Third A Division League
Leiden University	Brown University,Wuhan University,Auburn University,Cornell University,Clark University,Brandeis University,Tulane University,Inha University,Nankai University,Sichuan University,Stanford University,Northeastern University,London Underground,Robert Trivers,Löfven Cabinet,Pedro Pires,Sean Connery,Ordos City,Ho Chi Minh City,Ander Herrera,Newark New Jersey,Kidderminster,Salt Lake City,Ledley King,Lingya District,Sven Bender,Southend United FC,Tim BernersLee,Gordon Sprigg,John Roberts,HTC First,Gerd Müller,Seven Years War,Lee Seunggi,Luigi Einaudi,Malice Mizer,Jeff Merkley,Carrie Underwood,Brian Wilson,Leandro Guaita,Chen Jianbin,Brian Mulroney,Lin Fengjiao,Qing dynasty,San Jose State University,Pasadena California,Budapest,Carson California,Leeuwarden,Leiden University
KisMyFt2	SimCity,Kashiwa,FC Metz,Metz,Maxis,Modula2,Kaká,MeeGo,Cinemax,Xiaomi,Hitachi,Tim Krul,Linux,Ranger 2,Pauleta,Esbjerg,Tigris,Bashkirs,Katowice,Astana,Mestizo,Busan,Bird,Jining,Lyon,Quito,Liu Jian,Gujarat,Belfast,SS501,EXID,Clojure,Celeron,OneDrive,WatchOS,NTV7,OpenJDK,VIXX,Nightwish,Clang,Leessang,AWK,Egirls,GDragon,TVBS,Nexus 6P,TVBSAsia,SDN48,Sammir,KisMyFt2
bulgaria	Croatia,Gujarat,Tigris,Yugawara,Palencia,Punjabis,AlQaeda,Odawara,Armenia,Paris,Belgrade,Yunnan,Nevada,Delhi,Belfast,Astana,Sakhalin,Camellia,Guangxi,Pauleta,Busan,Setagaya,Valencian,McLaren,Naha,ND Gorica,Thuringia,Maxis,Celeron,Sendai,Tong Liya,Egirls,TVBSAsia,Clang,Inuyasha,Ranger 2,Ranger 6,Brazil,Madrid,Illinois,Monaco,Oregon,Budapest,Madagascar,Botswana,Sammir,Belize,Zenica,Americas,Bulgaria
Yokohama City	Yokohama Station,Ordos City,Salt Lake City,Ichihara Chiba,SimCity,Edogawa Tokyo,Ho Chi Minh City,Toyota Aichi,Sakhalin,Yōko Kamikawa,Yūko Obuchi,Michael Bay,Adam Smith,William Chan,Xiaomi Mi 2,Joachim Löw,Niklaus Wirth,Dont Wanna Cry,Yugawara,Gujarat,Croatia,Sammir,North Sea,Tajimi Gifu,Camellia,Yanan,North Carolina,North Brabant,Colorado Rapids,Alkmaar,Lekhwiya SC,Kazuhiko Chiba,Southern Tang,Alianza Lima,Game Center,Chavacano,Botswana,Gossip Candy,Starcamp EP,Tong Liya,Hakan Yakin,Xiaomi,Yang Xu,Kamchatka Krai,Ich will,Bob Carr,Fool Again,John Curtin,Zhu Xi,Yokohama
Leo IX	Luo Gan,Lyon,Zhu Xi,VIXX,Cao Cao,EXID,Lu Xun,H EP,Zenica,Metz,Nevada,Linux,Belize,Yemen,Delhi,Sendai,Moon EP,MeeGo,Goa,BASIC,Hebei,Berlin,Ovid,Bird,Tigris,Yang Xu,Leessang,Liu Jian,Jining,Yanan,SS501,Sammir,Astana,Oregon,ABBA,Egirls,Celeron,Clojure,Nampo,Berbers,Naha,Kaká,Tuo Zhen,GNU,AWK,FC Goa,NTV7,Xiaomi,Maxis,Pope Leo IX
Monthly Comic Alive	Mongol Empire,Montgomery Blair,North Carolina,Hulk comics,DC Comics,Cathay Pacific,Northrop Corporation,Northern California,Athletic Bilbao,Mong Kok Stadium,Donald Rumsfeld,Body Feels Exit,Sunny Hill,Dont Wanna Cry,Malice Mizer,Nintendo DSi,Electronic Arts,Xiaomi Mi 2,Animax Asia,Inha University,Soft rock,Toyota Aichi,Katowice,Nokia Lumia 800,Thomas Pledl,Rose Bowl Game,Connecticut River,Merrimack River,Samuel Alito,Kushan Empire,Gary Locke,County Monaghan,Angelino Alfano,Mikaël Silvestre,Bert T Combs,Gary Cahill,Marco Di Vaio,Moshe Katsav,Manuel Valls,Ho Chi Minh City,Giorgio Chiellini,Anton Chekhov,Mohamed Morsi,Cornell University,John Curtin,Montesquieu,Battle Fever J,Forensic Heroes,Hull City AFC,Monthly Comic Alive
Bashkir	Sammir,Kashiwa,Sakhalin,Naha,Busan,Kaká,Delhi,Bird,Jahangir,Maxis,Brazil,Berlin,Madrid,Paris,Astana,Armenia,Berbers,Bulgaria,Croatia,Tigris,Katowice,Nampo,Mestizo,Hebei,Suzhou,Karakoram,Yanan,Sendai,Belize,Alkmaar,Botswana,Palencia,Maebashi,Camellia,Brooklyn,Guangxi,Bradford,Hitachi,Pauleta,Corsier,Esbjerg,Chicken,Belfast,Xiaomi,Zhu Xi,Bob Carr,Haarlem,Yang Xu,Ovid,Bashkirs
Adobe Flash Player	Arabic alphabet,Heath Ledger,One Arashi album,Rose Bowl Game,Herbert Blumer,Limbu language,Thomas Pledl,Angela Merkel,Ahmad Shah Bahadur,Ali Abdullah Saleh,Rolling Star,Blue English band,Love So Sweet,Tomb Raider,Basque language,Daur language,Robbie Keane,Asamoah Gyan,Roger Wicker,Nivkh language,Drake rapper,Wilber Pan,Hausa language,Aldous Huxley,Indiana Pacers,Bob Carr,Bob Corker,Montgomery Blair,UD Las Palmas,Mariah Carey,John B Weller,Seven Years War,Robert Trivers,Aymara language,Ivan Silayev,AC Sparta Prague,Malcolm Fraser,Edogawa Tokyo,Niels Bohr,Angelino Alfano,Dutch East Indies,American Samoa,Thomas Hobbes,Pope Pius IX,Mini DisplayPort,Windows Phone,Game Center,Apple Watch,Universal Orlando,Adobe Flash Player
Bertrand Delanoe	Brian Wilson,Jerry Moran,Gerald Guralnik,Ashkan Dejagah,Brian Mulroney,Paraná state,Belgrade,American Samoa,Bernard Mandeville,Patrick Leahy,Nereu Ramos,Ivan Silayev,Angelino Alfano,Blerim Džemaili,Bert T Combs,Giordano Bruno,Gerd Müller,Sherrod Brown,Senad Lulić,Bill Nelson,Gerald Ford,Leeuwarden,Robbie Keane,Belgian Pro League,North Sea,Gelderland,Bosnian language,Suwa Nagano,Westwood Studios,Iron Man,Marcel Desailly,Henri Brisson,Berlin,Nilo Peçanha,Beji Caid Essebsi,John Bercow,Leandro Guaita,Marco Di Vaio,Dmitry Polyansky,Pep Guardiola,Benjamin Bristow,Alan Sheehan,Marc Janko,Andi Herzog,Duncan Oughton,Marion Raven,Roman Sharonov,Jeremy Bentham,William Chan,Bertrand Delanoë
Will Charn	William Chan,Will Arnett,Bill Nelson,Bob Carr,Wilber Pan,Liu Jian,Fool Again,Wang Zhen,Qin Sheng,Carl Levin,Wally West,Miloš Zeman,Niels Bohr,Wind song,Luo Gan,West Java,Zhongshan,Cao Cao,Tuo Zhen,Alkmaar,Pope Mark,Li Ruihuan,Star Wars,Air Canada,Valencian,Iron Man,Tim Krul,Ched Evans,Gary Cahill,Ron Wyden,David Stern,John Curtin,Carl Valeri,Émile Borel,Michael Sheen,TRAX band,Lollipop F,Gold Typhoon,Rolling Star,John Sherman,Bird,Jimmy Carter,McLaren,Lu Xun,Yan Xishan,Nilo Peçanha,Celeron,Milan Susak,Avex Trax,Will Champion
French Polynesia	French Navy,Francesco Cossiga,Dmitry Polyansky,Francesco Totti,New Caledonia,Palencia,Fuchū Tokyo,Victor Ponta,Senad Lulić,Pedro Pires,Sean Connery,Forensic Heroes,Arjen Robben,Chen Jianbin,Francesco Toldo,Cantonese,Qing dynasty,Cape Colony,Oregon,Thuringia,Armenia,Croatia,County Monaghan,West Virginia,North Carolina,North Sea,Brooklyn,Animax Asia,AC Omonia,Henri Brisson,Nedum Onuoha,Aksel V Johannesen,Brendon Šantalab,Nilo Peçanha,Ivan Silayev,Norodom Monineath,Nacho Monreal,House of Vasa,Denis Zvizdić,Lucrezia Borgia,Cosmin Contra,UD Las Palmas,Friends season 7,Thomas Pledl,Tong Liya,Flea musician,Kurt Vonnegut,Zhongshan,Ron Wyden,French Polynesia
STARCAMP EP	Moon EP,H EP,Al Ain FC,TRAX band,HTC One V,HTC First,SimCity,TVBSAsia,Apple A9,Nexus 6P,ABBA,FC Metz,St Albans,SS501,So Girls,Fool Again,Sunny Hill,Lollipop F,KisMyFt2,Maxis,Club Atlas,AS Nancy,Celeron,TVBS,Ranger 2,Sorry Sorry,SDN48,Clojure,Xiaomi Mi 2,Chicken,Senad Lulić,FC Goa,AC Omonia,Cinemax,IPhone 5S,AWK,Ranger 6,MeeGo,Setagaya,Americas,Air Canada,NTV7,Avex Trax,Sammir,Tong Liya,Clang,Chrome OS,Sven Bender,AlQaeda,Starcamp EP
Gurney Kardashian	Armen Sargsyan,Gary Cahill,Guy de Maupassant,County Monaghan,Yuan Shanshan,Moshe Katsav,Gerald Guralnik,Jerry Moran,Yan Xishan,Ahmed Ouyahia,Lu Wei politician,Inuyasha,County Durham,Worcestershire,Alan Sheehan,Jules Bianchi,Ronan Keating,Giannis Maniatis,Conan OBrien,Alfredo Cristiani,John Curtin,Gordon Sprigg,Fabien Barthez,Nanako Matsushima,Nereu Ramos,Gerald Ford,Maya Yoshida,Lucrezia Borgia,Yuya Tegoshi,Ledley King,Carlos Santana,House of Vasa,Animax Asia,Karakoram,Henri Brisson,Jeremy Bentham,Agatha Barbara,Chen Jianbin,Zhang Wentian,Leeuwarden,Zhongshan,Pep Guardiola,Ruhrstadion,Seven Years War,Xu Xiangqian,Uttarakhand,Run Run Shaw,One Arashi album,Kashiwa,Kourtney Kardashian
Nampo Special City	Ho Chi Minh City,Salt Lake City,Ordos City,Yao people,Nankai University,SimCity,Nacho Monreal,Napoleon III,Samuel Alito,Inha University,Wuhan University,North Sea,Dai Jiaoqian,Tang Shaoyi,Cape Colony,Kim Heechul,Camellia,Nokia Lumia 800,Clark University,Carl Valeri,Marco Di Vaio,Brown University,Phil Spector,Dont Wanna Cry,Adam Smith,Naif Hazazi,Taylor Swift,Nilo Peçanha,Chromecast,Pope Stephen I,Zara Phillips,Fabio Capello,Mariah Carey,Stanford University,Villarreal CF,Maebashi,William Chan,Sendai,Yashio Saitama,Sichuan University,So Girls,Oppa Oppa,Carson California,Altai Republic,Palencia,Toumba Stadium,Tajimi Gifu,Jay album,Lima footballer,Nampo
Brazil	Berlin,Paris,Croatia,Madrid,Maxis,Belize,Goa,Metz,Bird,Armenia,Kaká,GDragon,Bulgaria,Nampo,Yanan,Oregon,Clang,Delhi,Sammir,Tigris,Bradford,Berbers,Brooklyn,BASIC,Naha,Hebei,Xiaomi,Busan,Ovid,FC Basel,Yemen,Illinois,Gujarat,Monaco,Lyon,Nevada,McLaren,Yunnan,Zenica,Corsier,Astana,Belfast,Hitachi,Quito,Jining,AS Roma,Budapest,Shanghai,TVBSAsia,Brazil
Avex trax	Over Load,Americas,AS Roma,Heartful,Cinemax,Nexus 6P,Pauleta,Metz,Club Atlas,Hard rock,Astana,FC Goa,Celeron,AlQaeda,Zenica,Armenia,Gujarat,Ched Evans,Croatia,Belgrade,Pakistan,Nevada,Berbers,Alkmaar,Paris,Madrid,Sendai,Liu Jian,Yugawara,Berlin,Shanghai,Karakoram,Odawara,Tim Krul,Qantas,Luo Gan,Iron Man,Mestizo,Coquitlam,Cao Cao,OneDrive,Akhenaten,Moon EP,Wind song,H EP,Fool Again,McLaren,MeeGo,Ranger 2,Avex Trax
Warwickshire	Shropshire,Staffordshire,Worcestershire,Katowice,Paraná state,Maebashi,Kashiwa,Bashkirs,Malice Mizer,Maya Yoshida,WatchOS,Gary Cahill,Paris,Mariah Carey,Palencia,Madagascar,Americas,Mauritius,Corsier,Valencian,Sammir,Khmer Empire,Pakistan,Merrimack River,Chicken,Hitachi,Tajimi Gifu,Maxis,Marion Raven,David Stern,Chris Weitz,Karakoram,Carl Valeri,Hurricane Ike,Gary Locke,Patrick Leahy,Harold Urey,Dave Mustaine,Mario Gómez,Carl Levin,Shueisha,Jahangir,Cantonese,Marc Janko,Yan Xishan,Wang Zhen,Bradford,Croatia,Belize,Warwickshire
Jerry Moran	Sorry Sorry,Iron Man,Patty Murray,Gerald Ford,Gary Locke,Pedro Pires,Karakoram,Over Load,Jeff Merkley,Bert T Combs,Carl Levin,John Sherman,Jimmy Carter,John Curtin,Émile Borel,Chris Brown,Sherrod Brown,Nacho Monreal,Jeremy Bentham,Pope Mark,Gerd Müller,Piedra Spain,Miloš Zeman,GDragon,Nereu Ramos,Sergey Shoygu,Luo Gan,Liu Jian,Oregon,FC Goa,North Sea,West Java,Katy Perry,Lyon,Jay album,Nicki Minaj,Celeron,Bradford,Berbers,Avex Trax,Star Wars,Bob Corker,AS Roma,John Roberts,Seth Harris,Hard rock,Bob Carr,Berlin,David Stern,Jerry Moran
Working Peoples Progressive Party	Lao Peoples Revolutionary Party,Windows Photo Gallery,Cornell University,New Zealand Labour Party,Los Angeles Clippers,Boeing Commercial Airplanes,Northeastern University,Brandeis University,San Jose State University,Kara South Korean band,John Paul Stevens,Saint Paul Minnesota,Kingdom of Yugoslavia,French Polynesia,Portia SimpsonMiller,Brown University,Timon Wellenreuther,Wuhan University,Tochigi Prefecture,Prince Nikolai of Denmark,Windows Phone,Notre Dame de Paris,Francesco Cossiga,Universal Parks  Resorts,Mini DisplayPort,Norodom Monineath,Carlos Duke of Parma,Elvis Presley,Worcestershire,Nationalist Party Malta,Russian Provisional Government,Li Keqiang Government,Syrian Armed Forces,List of Portuguese monarchs,Mongol Empire,Korea Baseball Organization,Prime Minister of Slovenia,Angels Fall First,Perfume Japanese band,Nankai University,Out Works  Collaboration Best,Hong Kong Third Division League,Forensic Heroes,Maria GoeppertMayer,Chancellor of Germany,Lockheed P3 Orion,Kingdom of Sicily,Daraa Governorate,Haswell microarchitecture,Progressive Party of Working People
Lin Fengjiao	Deng Yingchao,Liu Jian,Sun Zhengcai,Qin Sheng,Lee Seunggi,Li Keqiang,Wang Dongxing,Zhang Wentian,Li Ruihuan,Xu Xiangqian,Jining,Kim Hyungil,Hu Jintao,Run Run Shaw,Luís Figo,Thuringia,Wind song,Valencian,Cinemax,Armenia,Palencia,Air Canada,LibreOffice,Nintendo DS,Dai Jiaoqian,Luo Gan,Yan Xishan,Mao Fumei,Lu Zhangong,Liu Yuzhang,Zhongshan,Lu Xun,Kim Heechul,Wilber Pan,Leessang,Guangxi,Park Jungmin,Cao Cao,Jahangir,Ledley King,Yunnan,Hans Geiger,Michael Bay,Camellia,Nilo Peçanha,Limbu language,Mestizo,Sendai,Montesquieu,Lin Fengjiao
Jack Lane	Gary Locke,Marc Janko,McLaren,Luo Gan,Iron Man,Yanan,Cao Cao,TRAX band,BBC One,Pakistan,Bob Carr,Ched Evans,Jack Kerouac,Joachim Löw,Mao Fumei,Pauleta,Patrick Leahy,Leessang,Chicken,Carl Valeri,Rainie Yang,Pope Mark,Star Wars,AS Nancy,Liu Jian,Jahangir,Lu Xun,Ich will,Socrates,Jining,Tong Liya,Kaká,Yang Xu,Carl Levin,Karakoram,Rahm Emanuel,Game Center,Katowice,Chavacano,Naha,Jay album,St Albans,Wind song,Wang Zhen,Nicki Minaj,West Java,Yokohama,Over Load,Sakhalin,Jack Ryan character
Edogawa Ward	Odawara,Yugawara,Star Wars,Uttarakhand,Gerald Ford,Pope Mark,Botswana,Madagascar,Bob Carr,Yokohama,Setagaya,Chandigarh,Bradford,Luo Gan,Croatia,TRAX band,Alkmaar,Bulgaria,Indiana Pacers,Michael Bay,Gossip Candy,Chavacano,Emilia Fox,Niklaus Wirth,Jahangir,Mariah Carey,Microsoft Word,Thomas Pledl,Cao Cao,Iron Man,Suwa Nagano,Kashiwa,Vegalta Sendai,Ibaraki Osaka,Naha,Ordos City,Toyota Aichi,Belgrade,Hayato Ikeda,Paraná state,Gujarat,Sammir,Piedra Spain,North Sea,Zhongshan,Corsier,Monaco,Goa,West Java,Edogawa Tokyo
Victor Stepanovich Chernomyrdin	Atlantic Records,Forensic Heroes,Victor Ponta,Giordano Bruno,Hachinohe Aomori,Northrop Corporation,Mountain View California,North Carolina,Northern California,Dianne Feinstein,Anton Chekhov,Prudente de Morais,Pier Luigi Bersani,Lucrezia Borgia,Cristiano Zanetti,Giorgio Chiellini,Patrick Kisnorbo,Sean Connery,Stefan Effenberg,Scuderia Ferrari,Yomiuri Telecasting Corporation,Stephen Hawking,Pope Stephen I,John Sherman,Otto Weininger,Dischord Records,Dont Wanna Cry,Li Keqiang Government,New Mexico Thunderbirds,UtoAztecan languages,Spitzer Space Telescope,Daraa Governorate,Octopuss Garden,French Polynesia,Split Croatia,Solar Dynamics Observatory,Scottish Gaelic,Virgin Records,Nintendo WiFi Connection,Jack Ryan character,Kitchen Nightmares,Microsoft Word,Aleksandr Kokorin,Armen Sargsyan,Georges Pompidou,John Curtin,Édith Cresson,Timon Wellenreuther,Vlatko Grozdanoski,Viktor Chernomyrdin
Hong Kong Group C Football League	Hong Kong Third A Division League,Hong Kong Football Association,Mali national football team,Morocco national football team,Finland national football team,Serbia national football team,Sweden national football team,Wales national football team,Belgian Pro League,Indian Super League,Roberto Carlos footballer,City Football Group,France womens national football team,201415 UEFA Europa League,Michael Marrone footballer,2014 AFC Champions League,201213 UEFA Europa League,Swiss Super League,Mong Kok Stadium,Shandong Provincial Stadium,Vålerenga Fotball,Bon Voyage Kumi Koda album,France national under21 football team,Royal Dutch Football Association,Latvian Higher League,201314 Premier League,Kara South Korean band,Lima footballer,Kingdom of Yugoslavia,AC Sparta Prague,Windows Photo Gallery,Vincenzo Montella,University of Economics Prague,Kingdom of Italy,House of Hohenzollern,Indonesian language,Western Yugur language,Los Angeles Clippers,Wang Liang footballer born 1989,Northrop Corporation,National Front France,Kingdom of England,California State Senate,Donald III of Scotland,Feng Guozhang,Antonio López footballer born 1981,OS X Mountain Lion,Angels Fall First,John Langdon politician,Hong Kong Third Division League
Henry Brisson	Édith Cresson,Benjamin Bristow,Jerry Moran,Conan OBrien,Yan Xishan,Brian Wilson,Pedro Pires,Hans Geiger,Sherrod Brown,Bill Nelson,Denis Zvizdić,Celeron,Confignon,Chris Brown,Sunny Hill,Ruhrstadion,Yury Luzhkov,HTC First,Berbers,New Horizons,Wind song,Robert Trivers,Gary Locke,Todor Burmov,John Bercow,Bert T Combs,Herbert Blumer,Jimmy Bullard,Ledley King,Berlin,Carl Levin,Nereu Ramos,Gary Cahill,Kuniaki Koiso,Senad Lulić,Marc Janko,Seth Harris,Andi Herzog,Hard rock,Ron Wyden,Peter Crouch,Luís Figo,Blake Ross,Hu Jintao,Jeremy Bentham,Piedra Spain,Li Ruihuan,Duncan Oughton,Flora Finch,Henri Brisson
Voyager 2	Ranger 2,Ranger 6,Corsier,Modula2,GDragon,Celeron,McLaren,Socrates,So Girls,Egirls,Karakoram,Setagaya,Yugawara,AlQaeda,Bulgaria,Bob Carr,Tigris,Jahangir,Goa,Esbjerg,Monaco,Budapest,Gujarat,Dordrecht,Berbers,Katy Perry,Odawara,Cameroon,Paris,Madrid,Surface Pro 2,Moon EP,Maxis,MeeGo,Bird,Xiaomi Mi 2,Hitachi,North Sea,HTC First,Cinemax,WatchOS,KisMyFt2,VIXX,Clang,HTC One V,Boeing 747,Pauleta,Apple A9,IPhone 5S,Voyager 2
