BBC Radio 1	BBC One
Irene de Gutiere	Irena Degutienė
Jet Propulsion Laboratory	Jet Propulsion Laboratory
Gille Deleuze	Gilles Deleuze
David Platt	David Platt
The Condor Heroes	The Return of the Condor Heroes
Virginia Military Academy	Virginia Military Institute
Heo Youngsaeng	Heo Youngsaeng
Mongols in China	Mongols in China
Queen Mary University of London	Queen Mary University of London
Max Gradu	Max Gradel
Sangju Sangmu Football Club	Sangju Sangmu FC
Bicina Ivanishvili	Bidzina Ivanishvili
Paul Cezanne	Paul Cézanne
Spanish Netherlands	Spanish Netherlands
County Kerry	County Kerry
Dark Epic	Epica
Kansai Johnny 8	Kanjani Eight
Wang Shangyuan	Wang Shangyuan
Fidesz	Fidesz
King Higashikueriya Minoruhiko	Prince Naruhiko Higashikuni
George MDallas	George M Dallas
Masaaki Toma	Masaaki Toma
Xiao Ke	Xiao Ke
Frank Drake	Frank Drake
Tokugawa Iesato	Tokugawa Iesato
Croatian Football League	Croatian First Football League
Baby One More Time	Baby One More Time
Empress Xiaodexian	Empress Xiaodexian
Jafar Panahi	Jafar Panahi
Uruguay	Uruguay
Harrow Shapley	Harlow Shapley
Jiang Jiajun	Jiang Jiajun
Satigny	Satigny
Dimitri Pladus	Dimitri Petratos
Xianfeng Emperor	Xianfeng Emperor
€	Euro
Lars Ulrich	Lars Ulrich
Abdurrahim ElKeib	Abdurrahim ElKeib
karakalpak	Karakalpaks
Klaus Iohannis	Klaus Iohannis
Guido DeMarco	Guido de Marco
Costinha	Costinha
Osama bin Laden death	Death of Osama bin Laden
Vulgar Latin	Vulgar Latin
Austria National Under21 Football Team	Austria national under21 football team
Malcolm IV	Malcolm IV of Scotland
Dinamo Bucharest FC	FC Dinamo București
Bernie Sanders	Bernie Sanders
Nagqu Region	Nagqu Prefecture
Tie the Knot	Tie the Knot
Hiratsuka	Hiratsuka Kanagawa
Battlefield Hardline	Battlefield Hardline
Prince Philip Duke of Edinburgh	Prince Philip Duke of Edinburgh
MenuetOS	MenuetOS
Super Junior Donghae  Eunhyuk	Donghae  Eunhyuk
District	Gangshan District
Stephen Báthory	Stephen Báthory
MATE	MATE
Venceslau Brás	Venceslau Brás
Chinese American	Chinese Americans
1989  UEFA Cup 90	198990 UEFA Cup
Gaohucheng	Gao Hucheng
Klaus Waviret	Klaus Wowereit
Paul Lambert	Paul Lambert
Milivoye Novakovic	Milivoje Novaković
Office Girls	Office Girls
Moments	Moments
Harvard Law School	Harvard Law School
Mo Yan	Mo Yan
F15 Eagle Fighter	McDonnell Douglas F15 Eagle
Tsugi no Ashiato	Tsugi no Ashiato
Fengtai County	Fengtai County
Kasper Gusk	Kasper Kusk
Giambatista Vico	Giambattista Vico
Vincent Siew	Vincent Siew
Marco Bertalino	Marco Padalino
Giuliano Amato	Giuliano Amato
ITV	ITV
The Hippocratic Crush	The Hippocratic Crush
Cambodia Peoples Party	Cambodian Peoples Party
Xiao Zhanbo	Xiao Zhanbo
After Forever	After Forever
Love Angel Music Baby	Love Angel Music Baby
Liang Sicheng	Liang Sicheng
Hsu Shuiteh	Hsu Shuiteh
Tyne Castle Stadium	Tynecastle Stadium
Queen Paola of Belgium	Queen Paola of Belgium
Thomas CavrierSmith	Thomas CavalierSmith
Dennis Ritchie	Dennis Ritchie
RomanSeleucid War	RomanSeleucid War
Meizhou Meixian District Hakka Football Club	Meixian Hakka FC
The Hero Next Door	Neighborhood Hero
Huzhou	Huzhou
RPG Maker	RPG Maker
KV Oostende	KV Oostende
FriendFeed	FriendFeed
Shanghainese	Shanghainese
Nefertiti	Nefertiti
Besiktas Gymnastics Club	Beşiktaş JK
Grand Duchess Olga Nikolaevna of Russia	Grand Duchess Olga Nikolaevna of Russia
maryland	Maryland
Jilin City	Jilin City
Battle of Berlin	Battle of Berlin
Charlotte	Charlotte
XenophonZolotas	Xenophon Zolotas
Lee Yong	Lee Yong
Carl Jung	Carl Jung
Ben E King	Ben E King
Democratic	Democratic Party
Gillian Chung	Gillian Chung
Lazio	Lazio
sydney	Sydney
veele	Vejle
Victor Borisovich Khristenko	Viktor Khristenko
Zhang Zhijun	Zhang Zhijun
Austronesian	Austronesian languages
The Sweet Escape	The Sweet Escape
leicester	Leicester
Abdul Qada Qida	Abdul Kader Keïta
Perak	Perak
Eric Garcetti	Eric Garcetti
Scuola Normale Superiore di Pisa	Scuola Normale Superiore di Pisa
Fabricio Coloccini	Fabricio Coloccini
Emperor Yang of Sui	Emperor Yang of Sui
Köbi Kuhn	Köbi Kuhn
Dilma Rousseff	Dilma Rousseff
Rodion Yakovlevich Malinovsky	Rodion Malinovsky
Hiroshima City	Hiroshima
Songshan Station	Songshan Station
Rhythm zone	Rhythm Zone
Sundanese people	Sundanese people
Ostrava	Ostrava
Burmese alphabet	Burmese alphabet
Sams Town	Sams Town
Massimiliano Allegri	Massimiliano Allegri
Chen Gongbo	Chen Gongbo
Casino Royale	Casino Royale
Central Kalimantan	Central Kalimantan
Atayal	Atayal language
Sông Lam Nghệ An FC	Sông Lam Nghệ An FC
US English	American English
Eunhyuk	Eunhyuk
Malayalam	Malayalam
Kitasenju Station	KitaSenju Station
Urbano Latazzi	Urbano Rattazzi
John Hickenlooper	John Hickenlooper
Green River	Green River
AFC Bournemouth	AFC Bournemouth
Prince Naruhito	Naruhito Crown Prince of Japan
Derek Lowe	Derek Lowe
Perfect Crime	Perfect Crime
Franklin Delano Roosevelt Jr	Franklin Delano Roosevelt Jr
West Himalayish	West Himalayish languages
William Hague	William Hague
Make my day	Make My Day
Moderate Party	Moderate Party
East China Normal University	East China Normal University
Malik Mansour Mirza Shao Sartana	Malek Mansur Mirza Shoa OSaltaneh
20132014 Europa League	201314 UEFA Europa League
FC Bayern Munich	FC Bayern Munich
Yuko Oshima	Yuko Oshima
The Legend of Zelda Series	The Legend of Zelda
Christs Hospital	Christs Hospital
Latin Alphabet	Latin script
FA Cup	FA Cup
Dai Nana Shō Utsukushikutte Gomen ne	Dai Nana Shō Utsukushikutte Gomen ne
Stadion am Laubenweg	Stadion am Laubenweg
Chinese Canadian	Chinese Canadians
Leiden	Leiden
Chinese characters	Chinese characters
Emma Bonino	Emma Bonino
Time after time On the streets of falling flowers	Time After Time
Steven Ma	Steven Ma
Canary Islands	Canary Islands
Jeremain Lens	Jeremain Lens
Megumi Takamoto	Megumi Takamoto
Airbus A310	Airbus A310
Universities UK	Universities UK
Vichy France	Vichy France
Super Electronic Biochemical Man	Choudenshi Bioman
Ariège	Ariège
Wangchuck Dynasty	House of Wangchuck
KRC Genk	KRC Genk
Idris Cavani	Idriss Carlos Kameni
Cape Canaveral Air Force Station Space Launch Complex 41	Cape Canaveral Air Force Station Space Launch Complex 41
Latvian	Latvian language
Shenzhou II	Shenzhou 2
Richard Burton	Richard Burton
Boğaziçi University	Boğaziçi University
Æthelred of Wessex	Æthelred of Wessex
Maria Feodorovna	Maria Feodorovna
Jill Biden	Jill Biden
Boeing 36780	Boeing 36780
Stephen Ireland	Stephen Ireland
Jason Derulo	Jason Derulo
Angelababy	Angelababy
Oxford University Press	Oxford University Press
Gwyneth Paltrow	Gwyneth Paltrow
Leslie Lamport	Leslie Lamport
Franklin County	Franklin County Washington
Sanchez Watt	Sanchez Watt
Wales	Wales
Park Geunhye	Park Geunhye
chiyo Izawa	Ichiyo Izawa
Tokugawa Yoshinobu	Tokugawa Yoshinobu
Cagliari Football Club	Cagliari Calcio
Huang Qifan	Huang Qifan
University of Pisa	University of Pisa
Bruno Alves	Bruno Alves
John de Robeck	John de Robeck
Trần Đức Lương	Trần Đức Lương
Sanmao	Sanmao
City of Canterbury	City of Canterbury
Sing to the Sky	Sing to the Sky
Harbin	Harbin
Colentis Paulista Sports Club	Sport Club Corinthians Paulista
Dean FCO	Dijon FCO
Toghon Temür	Toghon Temür
Ok Taecyeon	Ok Taecyeon
Malta	Malta
Belarus	Belarus
Kevin Cash	Kevin Cash
assam	Assam
Rick Santorum	Rick Santorum
Po	Po
Lotus	Lotus
Cappadocia	Cappadocia
Islamic Republic of Iran Air Force	Islamic Republic of Iran Air Force
McGill University	McGill University
Wigan Athletic FC	Wigan Athletic FC
Israel national football team	Israel national football team
Republic of Macedonia	Republic of Macedonia
Carrie Lam	Carrie Lam
Tiny C Compiler	Tiny C Compiler
Dmitry Tolbinski	Dmitri Torbinski
Mark Robson	Mark Robson
Pierluigi Colina	Pierluigi Collina
Japan	Japan
Kathy Chow	Kathy Chow
Hermann Emile Fischer	Hermann Emil Fischer
Ben Sass	Ben Sasse
Louisiana	Louisiana
R3hab	R3hab
Twilight	Twilight
The Iraq War	Iraq War
Gala Television	Gala Television
Andy OByrne	Andy OBrien
Jan Neruda	Jan Neruda
Windows 95	Windows 95
Neyagawa City	Neyagawa Osaka
Marilyn Manson	Marilyn Manson
Boleslav Football Club	FK Mladá Boleslav
Liberty Korea Party	Saenuri Party
German womens national football team	Germany womens national football team
Fukuoka Prefecture	Fukuoka Prefecture
BBC Radio 2	BBC Two
Putao	Putao
Biyani Straustrup	Bjarne Stroustrup
Sexy Free  Single	Sexy Free  Single
ava	Inwa
County Louth	County Louth
Broadwell Microarchitecture	Broadwell
Sima Zhao	Sima Zhao
Cheng Nanjung	Cheng Nanjung
Kaohsiung International Airport	Kaohsiung International Airport
Cherie Blair	Cherie Blair
Estádio BeiraRio	Estádio BeiraRio
Niedun Burns	Nathan Burns
Yeongjo of Joseon	Yeongjo of Joseon
Amur River	Amur River
University of Lausanne	University of Lausanne
Mehdi Goli Hidayat	Mehdi Qoli Hedayat
Limingshui Sports Team	Rimyongsu Sports Club
British Aerospace Systems	BAE Systems
YOU	You
Cao Xueqin	Cao Xueqin
Liaoning Province	Liaoning
Xiang Yun	Xiang Yun
Redondo Beach	Redondo Beach California
Slash	Slash
Friedrich Schelling	Friedrich Wilhelm Joseph Schelling
First Republic of South Korea	First Republic of South Korea
Governor of Washington	List of Governors of Washington
Kayun Farmhouse Course	Craven Cottage
Billy Pait	Billy Paynter
Henrik Ibsen	Henrik Ibsen
Sarpsborg 08 FF	Sarpsborg 08 FF
National Collegiate Athletic Association	National Collegiate Athletic Association
Geoffrey Ma	Geoffrey Ma
	
bangalore	Bangalore
Elvis Tsui	Elvis Tsui
James Morrison	James Morrison
Kuan Chungming	Kuan Chungming
Hu Chunhua	Hu Chunhua
The Empire Strikes Back	The Empire Strikes Back
Louis XVI	Louis XVI of France
Nawaz Sharif	Nawaz Sharif
James Beattie	James Beattie
Xichuan County	Xichuan County
Henry Clinton	Henry Clinton
Alexander Boto	Alexandre Pato
Roma	Romani language
F	F
Trickster	Trickster
Edward Shor	Edward Short Baron Glenamara
Bengali	Bengali alphabet
ANGERME	Angerme
Bash	Bash
Foshan	Foshan
Edgar Davis	Edgar Davids
H H Kung	H H Kung
Fengyang County	Fengyang County
Oshkosh	Oshkosh Nebraska
SPEED	Speed
Ken Kersey	Ken Kesey
University of Exeter	University of Exeter
Karel Popowski	Karel Poborský
Manuel Mejuto González	Manuel Mejuto González
JPN	JPN
Bruno Menegger	Bruno Meneghel
Joanjo Shelway	Jonjo Shelvey
Kevin Durant	Kevin Durant
Portimonense Athletic Club	Portimonense SC
Oxfordshire	Oxfordshire
Mao Anqing	Mao Anqing
DIE	DIE
Rene Viviani	René Viviani
Rong Hao	Rong Hao
Jack Black	Jack Black
Categoría Primera A	Categoría Primera A
Chatichai Choonhavan	Chatichai Choonhavan
Greenland	Greenland
Ongaku Gatas	Ongaku Gatas
Kim Joon	Kim Joon
Swiss National Football Team	Switzerland national football team
Harold Pinter	Harold Pinter
Alexander Sergeyevich Pushkin	Alexander Pushkin
Sunjong of Korea	Sunjong of Korea
SaintDenis Basilica	Basilica of St Denis
George Curzon 1st Marquis of Curzon of Kedleston	George Curzon 1st Marquess Curzon of Kedleston
Victor Weiskopf	Victor Weisskopf
Yoran Persson	Göran Persson
John YBrown	John Y Brown
casper	Casper Wyoming
Taria Halonen	Tarja Halonen
Royal Australian Navy	Royal Australian Navy
Eidos Interactive	Eidos Interactive
Yaya Touré	Yaya Touré
Jean Grand Duke of Luxembourg	Jean Grand Duke of Luxembourg
Thado Minsaw	Thado Minsaw
Timor Sea	Timor Sea
Anytime	Anytime
bermuda	Bermuda
Taipa	Taipa
Oda Nobunaga	Oda Nobunaga
Hong Kong Federation of Trade Unions	Hong Kong Federation of Trade Unions
Ishikawa Naohiro	Naohiro Ishikawa
Toby Alderweireld	Toby Alderweireld
Chinedu Obasi	Chinedu Obasi
Wu Sehwa	Wu Sehwa
Activision	Activision
Thái Nguyên Province	Thái Nguyên Province
Hakka	Hakka Chinese
bangladesh	Bangladesh
Bath	Bath Somerset
Sun Feifei	Sun Feifei
timorleste	East Timor
Lee Youngae	Lee Youngae
blackpool	Blackpool
Sherpa	Sherpa language
Bounty Lady	Bounty Lady
Liao Dynasty	Liao dynasty
Simply Wonderful	Simply Wonderful
Scheme	Scheme
Regional Municipality of York	Regional Municipality of York
Nagasaki Success Pill	VVaren Nagasaki
George Washington University	George Washington University
Dreaming Now	Dreaming Now
Windows Server 2003	Windows Server 2003
Charlene Princess of Monaco	Charlene Princess of Monaco
Beverly McLachlin	Beverley McLachlin
Marcus Aurelius	Marcus Aurelius
Wang Gengwu	Wang Gungwu
Mesa River	Mesa
Battle of Gaugamela	Battle of Gaugamela
Tromso	Tromsø
Quebec French	Quebec French
Wilhelm II	Wilhelm II German Emperor
SV Darmstadt 98	SV Darmstadt 98
Luang Phibun Songkham	Plaek Phibunsongkhram
North Sydney Council	North Sydney Council
Tahitian football team	Tahiti national football team
Zwolle	Zwolle
Columbia University	Columbia University
Kansas City Athletic Conference	Sporting Kansas City
Bangladesh President	President of Bangladesh
Fred Cheng	Fred Cheng
Alaungpaya	Alaungpaya
Andy Keoge	Andy Keogh
Steve Daines	Steve Daines
Penny Wong	Penny Wong
Tuvan	Tuvan language
CentaurusCentaur Launch Vehicle	AtlasCentaur
SpiderMan 3	SpiderMan 3
Passion	Passion
Fudan University	Fudan University
Serge Ignashevic	Sergei Ignashevich
Always and Ever	Always and Ever
Shibuya Station	Shibuya Station
Nguyễn Sinh Hùng	Nguyễn Sinh Hùng
Jan Antonescu	Ion Antonescu
Showtek	Showtek
Maid Sama	Maid Sama
Russian Military	Russian Armed Forces
Ignatius Loyola	Ignatius of Loyola
Zhuang	Zhuang languages
Abe Akie	Akie Abe
Paul Scorsese	Paul Scholes
Helen Yao	Helen Yao
Louisa May Alcott	Louisa May Alcott
Igbo	Igbo language
Timo Hildebrand	Timo Hildebrand
Howell Cobb	Howell Cobb
Farouq Legari	Farooq Leghari
Bai He	Bai He
Anthony Kennedy	Anthony Kennedy
Panayotis Rafazanis	Panagiotis Lafazanis
Salford City FC	Salford City FC
Lubos Michael	Ľuboš Micheľ
Seemann	Seemann
Hajime Sugiyama	Hajime Sugiyama
NVIDIA GeForce 200	GeForce 200 series
SEASONS	Seasons
Yuki Kajiura	Yuki Kajiura
Justus von Liebig	Justus von Liebig
Alexander Frei	Alexander Frei
Gustav Heinemann	Gustav Heinemann
Yin Haiguang	Yin Haiguang
Takahiro Matsumoto	Tak Matsumoto
Vladimir Mikhailovich Komarov	Vladimir Komarov
Chiang Weikuo	Chiang Weikuo
Samir Rifay	Samir Rifai
Mario Balotelli	Mario Balotelli
J7	Chengdu J7
Peter Phillips	Peter Phillips
Ukraine National Under21 Football Team	Ukraine national under21 football team
Frederick Prince of Hohenzollern	Frederick Prince of Hohenzollern
Loyola Marymount University	Loyola Marymount University
Penn Nouth	Penn Nouth
Jody WilsonRaybould	Jody WilsonRaybould
Transformers	Transformers
AEK Larnaca Football Club	AEK Larnaca FC
Lee Honggi	Lee Honggi
Prince Bernhard of LippeBiesterfeld	Prince Bernhard of LippeBiesterfeld
Envoy Aviation	Envoy Air
boston	Boston
Samsung Galaxy S4	Samsung Galaxy S4
Czechoslovak government in exile	Czechoslovak governmentinexile
Mark Lui	Mark Lui
Know nothing	Know Nothing
Savoie	Savoie
DreamWorks	DreamWorks
The Last Emperor	The Last Emperor
Trinity College Dublin	Trinity College Dublin
Hacı Pasha	Hacı Pasha
Ai Otsuka	Ai Otsuka
Pingdingshan	Pingdingshan
Alberto Suarez Inda	Alberto Suárez Inda
Austrian Empire	Austrian Empire
Colchester United Football Club	Colchester United FC
Vladimir Antonovich Ivashko	Vladimir Ivashko
Tokyo Verdy	Tokyo Verdy
Black Wind Grandma	Sky Witch
Nanyang city	Nanyang Henan
Gurung	Gurung language
Malaysian Islamic Party	PanMalaysian Islamic Party
Nicky Wu	Nicky Wu
Paul H ONeill	Paul H ONeill
Inner Mongolia Zhongyou FC	Nei Mongol Zhongyou FC
John JCrittenden	John J Crittenden
1965  Euro 66 Champions Cup	196566 European Cup Winners Cup
Superfly	Superfly
Cham	Chams
Wish and Switch	Wish and Switch
Beat It	Beat It
Jerry Brown	Jerry Brown
Revolver	Revolver
Overprotection	Overprotected
University of Helsinki	University of Helsinki
Arthur Fadden	Arthur Fadden
Ganges	Ganges
Winfield Scott Hancock	Winfield Scott Hancock
Android	Android
Wayne State University	Wayne State University
Egypt Arabic	Egyptian Arabic
Daryl Janmaat	Daryl Janmaat
Uli Hoeness	Uli Hoeneß
Archibald Wavell 1st Earl of Wavell	Archibald Wavell 1st Earl Wavell
The Third Battle of Kharkiv	Third Battle of Kharkov
Malcolm III	Malcolm III of Scotland
United Kingdom Supreme Court	Supreme Court of the United Kingdom
Yumjaagiin Tsedenbal	Yumjaagiin Tsedenbal
Hide	Hide
Ken Hung	Ken Hung
The Return of Sherlock Holmes	The Return of Sherlock Holmes
Satsuma Rebellion	Satsuma Rebellion
Licinius	Licinius
Felix Grundy	Felix Grundy
glam rock	Glam rock
Nurlan Balkimbayev	Nurlan Balgimbayev
Osasuna Athletic Club	CA Osasuna
Zhuang Jiajie	Zhuang Jiajie
He Yingqin	He Yingqin
Zhou Libo	Zhou Libo
Zhao Peng	Zhao Peng
Yokohama International Arena	International Stadium Yokohama
City of St Albans	City of St Albans
LINE	Line
Shaoguan	Shaoguan
Stanko Todorov	Stanko Todorov
Wonderful Hands	Healing Hands
PSV Yan Haofen	PSV Eindhoven
DebreziniVSC	Debreceni VSC
Thein Sein	Thein Sein
Chōfu Tokyo	Chōfu Tokyo
Aisin Giorgio	Aisin Gioro
Bonaparte Dynasty	House of Bonaparte
Adolf Frederick	Adolf Frederick King of Sweden
springfield	Springfield Illinois
Prince Leopold	Prince Leopold Duke of Albany
CS Marítimo	CS Marítimo
Nancy Sit Ka Yin	Barn swallow
Tao Hong	Tao Hong
Kansas City Missouri	Kansas City Missouri
Zulfikar Ali Bhutto	Zulfikar Ali Bhutto
Zhang Zhen	Zhang Zhen
Netherlands under21 national football team	Netherlands national under21 football team
William Fox	William Fox
Ranger 5	Ranger 5
David I	David I of Scotland
Đắk Lắk	Đắk Lắk Province
Li Zhun	Li Zhun
Yihara Station	Maibara Station
Neil Collins	Neill Collins
French Ligue 1	Ligue 1
Colin Trevorrow	Colin Trevorrow
Hatoyama Yukio	Yukio Hatoyama
Lahore	Lahore
Emperor Bunmu	Emperor Monmu
Jahandar Shah	Jahandar Shah
Atomic Heart	Atomic Heart
NVIDIA GeForce 9	GeForce 9 series
Lee Jongho	Lee Jongho
List of vice premiers of the Republic of China	List of vice premiers of the Republic of China
BBC World News	BBC World News
Jake Peavy	Jake Peavy
Fahrenheit	Fahrenheit
University of Hull	University of Hull
Mika Nakajima	Mika Nakashima
Empress Xiaoshencheng	Empress Xiaoshencheng
Mark Furnet Monet	Marc Forné Molné
William James	William James
Communist Party of Bulgaria	Bulgarian Communist Party
FUSE OF LOVE	Fuse of Love
Tolai language	Tolai language
Infanta Cristina of Spain	Infanta Cristina of Spain
Pope Sergius II	Pope Sergius II
Senegal	Senegal
Mustafa Abdul Jalil	Mustafa Abdul Jalil
Niccolò Machiavelli	Niccolò Machiavelli
Crown Prince Haakon	Haakon Crown Prince of Norway
Tami Baldwin	Tammy Baldwin
Andrei Sergeyevich Arshavin	Andrey Arshavin
Pierre Freyden	Pierre Frieden
Ezhou	Ezhou
Fabian Ernst	Fabian Ernst
NASA	NASA
Ali Habib Mahmood	Ali Habib Mahmud
Charles X	Charles X of France
Jiang Mianheng	Jiang Mianheng
IO Interactive	IO Interactive
Malaysian Chinese	Malaysian Chinese
Ministry of Foreign Affairs	Ministry of Foreign Affairs
Tsai Duei	Tsai Duei
Murray Gellman	Murray GellMann
FAMAS Assault Rifle	FAMAS
World Wide Web Consortium	World Wide Web Consortium
Fly to the Sky	Fly to the Sky
Dennis Romedal	Dennis Rommedahl
University of Detroit Mercy	University of Detroit Mercy
Lauda Airlines	Lauda Air
hernanes	Hernanes
United States dollar	United States dollar
Lionsgate Pictures	Lionsgate Films
Xiaomi mobile phone 2A	Xiaomi Mi 2A
Max Planck	Max Planck
Nintendo Network	Nintendo Network
Livonian	Livonians
Joseph Visarionovich Stalin	Joseph Stalin
Bii	Bii
maharashtra	Maharashtra
Pope Pius X	Pope Pius X
Fernando Belande Terry	Fernando Belaúnde Terry
Medical Top Team	Medical Top Team
Burwood Council	Municipality of Burwood
Ronny Carlos da Silva	Ronny Carlos da Silva
Babe Ruth	Babe Ruth
Shanghai Stadium	Shanghai Stadium
Tabula Rasa	Tabula Rasa
P V Narasimha Rao	P V Narasimha Rao
Inabe	Inabe Mie
Kingdom of Castile	Kingdom of Castile
IndoIranian	IndoIranian languages
Real Brugge	Club Brugge KV
Minobu	Minobu Yamanashi
CLANNAD	Clannad
Jacques ChabonDelma	Jacques ChabanDelmas
Battle of Chaeronia	Battle of Chaeronea
Silo of Asturias	Silo of Asturias
New South Wales	Beverly Hills New South Wales
Slavia Sports Club Prague	SK Slavia Prague
Wu Bangguo	Wu Bangguo
The Big Bang Theory	The Big Bang Theory
Mohammad Shehu	Mehmet Shehu
Wellington International Airport	Wellington International Airport
The Emperor of India	Emperor of India
Mickel Arteta	Mikel Arteta
Pat Toomey	Pat Toomey
Sass	Sass
Ryan Tedder	Ryan Tedder
Luo Senwen	Luo Senwen
Mishima Shizuoka	Mishima Shizuoka
Sheezus	Sheezus
Wojciech Szczesny	Wojciech Szczęsny
Peter II	Peter II of Yugoslavia
Black Sea	Black Sea
Zhaoqing	Zhaoqing
Socialist	Socialist Party
Free Democratic Party	Free Democratic Party
Henri Grand Duke of Luxembourg	Henri Grand Duke of Luxembourg
Fire Ambition 3	Burning Flame III
Victor Obina	Victor Obinna
Mahmud Pasha Angelović	Mahmud Pasha Angelović
Louis XIV	Louis XIV of France
Harold Holt	Harold Holt
Sjoerd Ars	Sjoerd Ars
Salamanca	Salamanca
Tang Zhongzong	Emperor Zhongzong of Tang
Robert Aikent	Robert Grant Aitken
ALL FOR YOU	All for You
Tomáš Pekhart	Tomáš Pekhart
DiVA	Diva
Charles Darwin	Charles Darwin
Felix Klein	Felix Klein
Flavor Of Life	Flavor of Life
Yang Jiechi	Yang Jiechi
Leopold III	Leopold III of Belgium
BaalMamatyili	Bari Mamatil
Ryuhei Maruyama	Ryuhei Maruyama
Avila Province	Province of Ávila
Merry Streep	Meryl Streep
GE Aviation	GE Aviation
Toyama Prefecture	Toyama Prefecture
Nagai Kensuke	Kensuke Nagai
hawkesbury	City of Hawkesbury
Changsha dialect	Changsha dialect
Guatemala	Guatemala
Girls GenerationTTS	Girls GenerationTTS
Lee Jung Hyun	Lee Junghyun
Frederik Willem de Klerk	F W de Klerk
Miracles	Miracles
Christmas Island	Christmas Island
Averroes	Averroes
North Sumatra	North Sumatra
UKISS	UKISS
Hongik University	Hongik University
Lloyd Sam	Lloyd Sam
SaxonyCoburgGotha	SaxeCoburg and Gotha
Hike Kamerlin Onnes	Heike Kamerlingh Onnes
Windows 10Mobile	Windows 10 Mobile
Xincai County	Xincai County
Xiao Yang	Xiao Yang
1979  UEFA Champions League 80	197980 European Cup
VP9	VP9
Otto von Bismarck	Otto von Bismarck
Gerard Ambassa Guy	Gerard Ambassa Guy
Tang Xuanzong	Emperor Xuanzong of Tang
Julius Nyerere	Julius Nyerere
Valais	Valais
Albert with Prince	Albert Prince Consort
City of Rockdale	City of Rockdale
Sanyo Shinkansen	Sanyō Shinkansen
HNK Hajduk Split	HNK Hajduk Split
Pope Eugene IV	Pope Eugene IV
The Borgia Family	House of Borgia
Bowdoin College	Bowdoin College
He Guoqiang	He Guoqiang
Holy See	Holy See
University of Utah	University of Utah
Luhansk Peoples Republic	Luhansk Peoples Republic
IW engine	IW engine
Zhuang Jing Huang Concubine	Imperial Noble Consort Zhuangjing
Mihai I	Michael I of Romania
Century Empire Online	Age of Empires Online
Sofia	Queen Sofía of Spain
Lee Pace	Lee Pace
Oliver Kahn	Oliver Kahn
Ben Bernanke	Ben Bernanke
Funcinpec Party	FUNCINPEC
Alex Bogomolov	Alex Bogomolov Jr
He Yang	He Yang
Japanese Imperial Family	Imperial House of Japan
Disney Channel	Disney Channel
FM Towns	FM Towns
Mitsubishi Heavy Industries	Mitsubishi Heavy Industries
Natalie Bennett	Natalie Bennett
Jacques Rogge	Jacques Rogge
30 Rock	30 Rock
Pierwsza Liga	I liga
Walloon Region	Wallonia
Taliban	Taliban
Sony Xperia Z1	Sony Xperia Z1
Prince Andrew Duke of York	Prince Andrew Duke of York
University of Geneva	University of Geneva
Ada Choi	Ada Choi
ZhengzhouXian HighSpeed Railway	ZhengzhouXian HighSpeed Railway
Kym	Kym
west Germany	West Germany
Mark Pryor	Mark Pryor
Gene Macun	Jean Makoun
Jaco Pastorius	Jaco Pastorius
Dai 2 Seichōki	Dai 2 Seichōki
Mari El	Mari El
Empress Jitō	Empress Jitō
Taiwan Railway Administration	Taiwan Railways Administration
Colombia	Colombia
West Ham United Football Club	West Ham United FC
south dakota	South Dakota
Oh Beomseok	Oh Beomseok
Princess Helena of Waldeck and Pyrmont	Princess Helena of Waldeck and Pyrmont
Queens of Diamonds and Hearts	Queens of Diamonds and Hearts
Alfonso  Prince of Asturias	Alfonso Prince of Asturias
Victor Andreevich Yushchenko	Viktor Yushchenko
Richard Nixon	Richard Nixon
No3b	No3b
Norah Jones	Norah Jones
Thomas AHendricks	Thomas A Hendricks
Vaclav Klaus	Václav Klaus
Prince Caspian	Prince Caspian
2010 Winter Olympics	2010 Winter Olympics
Tatar	Tatar language
PlayStation	PlayStation
Infante Carlos Count of Montemolin	Infante Carlos Count of Montemolin
Lucasfilm	Lucasfilm
Mac OS X Leopard	Mac OS X Leopard
Swiss German	Swiss German
Rice University	Rice University
Tianjin Jingtie Locomotive Football Club	Jingtie Locomotive FC
Lleida	Lleida
Alex OxladeChamberlain	Alex OxladeChamberlain
Prisoner Of Love	Prisoner of Love
Kenneth Clarke	Kenneth Clarke
Xperia	Sony Xperia
Marek Jankulovsky	Marek Jankulovski
Auguste Viktoria	Augusta Victoria of SchleswigHolstein
Zamslang Sambu	Jamsrangiin Sambuu
Abby Road	Abbey Road
Okuma Shigenobu	Ōkuma Shigenobu
Ministry of Economic Affairs of Taiwan	Ministry of Economic Affairs
Jap Stam	Jaap Stam
Major League Soccer	Major League Soccer
Han Xue	Han Xue
SM Entertainment	SM Entertainment
Panama	Panama
Anthony van den Bore	Anthony Vanden Borre
Ju JinMo	Joo Jinmo
Mongolia	Mongolia
Chelyabinsk Region	Chelyabinsk Oblast
Christian Wilhelmsson	Christian Wilhelmsson
seagull	Common gull
Peng Dehuai	Peng Dehuai
Resident Evil 2	Resident Evil 2
Worcester Massachusetts	Worcester Massachusetts
Edmond Husserl	Edmund Husserl
Iowa State University	Iowa State University
Bedtime Stories	Bedtime Stories
Prime Minister of Malaysia	Prime Minister of Malaysia
Osgir Osgirson	Ásgeir Ásgeirsson
East Kalimantan	East Kalimantan
Ai no Uta	Ai no Uta
Miami FC	Miami FC
Li Fang	Li Fang
