BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Lu Wei	Lu Xun,Luo Gan,Zhu Xi,Hebei,Liu Jian,Tuo Zhen,Suzhou,Yunnan,Guangxi,Xiaomi,Busan,Sendai,Delhi,AWK,Quito,FC Goa,Yemen,Linux,H EP,Lyon,FC Metz,Yanan,Cao Cao,Mao Fumei,Jining,Nampo,AlQaeda,Kaká,Chicken,Naha,Bird,Pauleta,Sammir,Ron Wyden,Li Keqiang,Zenica,Hitachi,Punjabis,Corsier,Tigris,Luís Figo,McLaren,VIXX,Ovid,Nevada,Oregon,EXID,Budapest,Gujarat,Berbers,SDN48,Bulgaria,SS501,NTV7,MeeGo,Egirls,Astana,Clang,Armenia,ABBA,Croatia,Goa,Metz,BBC One,TVBS,Belize,Esbjerg,Maxis,Haarlem,Monaco,GNU,BASIC,Qantas,IOS,Yang Xu,Wang Zhen,Li Ruihuan,AS Roma,Berlin,Qin Sheng,Madrid,Paris,Chris Weitz,Hu Jintao,Brazil,Lee Seunggi,Leessang,Carl Levin,FC Seoul,Yugawara,Bob Carr,Jahangir,Socrates,Camellia,So Girls,GDragon,Kurt Alder,Maebashi,Tim Krul,Lu Wei politician
The Rise of the Kingdom	Shire of Winton,The Siren song,The Pretenders,Monarchy of the United Kingdom,The Bourne Ultimatum,Philip II of Macedon,The Rolling Stones,Ledley King,Albert II of Belgium,William Windom,Republic of Genoa,Taipei Metro Line 5,Debbie Stabenow,House of Hohenzollern,George IV of the United Kingdom,House of Vasa,Love Across the Ocean,Like a Virgin song,Rose Bowl stadium,Kingdom of England,Pedro I of Brazil,Takahito Prince Mikasa,Ronan Keating,Du riechst so gut,Microsoft Word,The Republicans France,Party of Regions,Together When,Stephen Hawking,Thomas Pledl,Thomas Vermaelen,Tianhe Stadium,Qin Sheng,Philips Stadion,Lee Seunggi,Jeremy Bentham,University of Turin,Chris Weitz,Georges Pompidou,Christoph Metzelder,University of Portland,Denis Zvizdić,Tuo Zhen,University of Jena,University of Freiburg,Giorgio Chiellini,Otto Weininger,The Chronicles of Narnia,The Magicians Nephew,The Flash 2014 TV series,Warsaw Uprising,Tomer Hemed,OS X Mountain Lion,Heath Ledger,Friends season 7,Rose Bowl Game,Will Champion,Mayor of New Taipei,An Lushan Rebellion,Queen Noor of Jordan,TRAX band,Westwood Studios,Kingdom of Sicily,Blue English band,Chancellor of Germany,Universal Orlando,Toumba Stadium,Belgian Pro League,Sherrod Brown,Pope Stephen I,Dischord Records,Ahmad Shah Bahadur,Latvian Higher League,Prime Minister of Yemen,One Arashi album,Tokyo Disneyland,Melbourne City FC,Donnie Yen,Swiss Super League,Tom Hiddleston,City of Canada Bay,GeForce 400 series,GeForce 700 series,Piedra Spain,Vegalta Sendai,Tongzhi Emperor,Perfume Japanese band,George Grenville,Bertrand Delanoë,Rainie Yang,Thuringia,The Hague,Miloš Zeman,Lethbridge,Lord William Bentinck,Édith Cresson,Carrie Underwood,Stefan Effenberg,David Stern,Rise of Nations
John Wheeler	John B Weller,John Sherman,John Roberts,John Bercow,John Curtin,Alan Sheehan,Sven Bender,Ron Wyden,Roger Wicker,Hans Geiger,Bob Corker,Donnie Yen,Gerd Müller,Jeff Merkley,Qin Sheng,Game Center,Tomb Raider,Jimmy Carter,Ivan Silayev,Kurt Alder,Conan OBrien,Montesquieu,Sean Connery,Rahm Emanuel,Bob Carr,Anton Chekhov,Carl Valeri,Heath Ledger,Jahangir,Corsier,Phil Spector,Elvis Presley,Tomer Hemed,Pope Leo IX,North Sea,Wang Zhen,Ich will,The Pretenders,The Hague,Tuo Zhen,Sun Zhengcai,Yao people,Moon EP,So Girls,John Paul Stevens,Gary Locke,Bill Nelson,Émile Borel,Levi Woodbury,Joachim Löw,Ernst Kummer,Cantonese,Socrates,Gary Cahill,John Dew bishop,Chris Weitz,Will Arnett,Roman Sharonov,José Bosingwa,Jack Kerouac,Pope Stephen I,Mao Fumei,Tim Krul,Otto Weininger,Pat Roberts,Pope John XXI,Zhang Wentian,Zhang Yesui,Thomas Pledl,Fabio Capello,Carl Levin,Aldous Huxley,Jimmy Bullard,Brian Wilson,Andi Herzog,Ronan Keating,Pope Mark,Senad Lulić,Drake rapper,Robbie Keane,Wally West,Zhu Xi,Camellia,FC Basel,Celeron,Ander Herrera,Pope Pius IX,Club Atlas,Moshe Katsav,Hebei,Arjen Robben,Chen Jianbin,HTC One V,Yan Xishan,Sunny Hill,Zara Phillips,Fool Again,Delhi,Modula2,John Archibald Wheeler
Muhammad Ould AbdulAziz	Mohamed Morsi,Ahmed Ouyahia,Mamadou Sakho,Mana Iwabuchi,Thomas Pledl,Samuel Alito,Ahmad Shah Bahadur,Gustav Ludwig Hertz,Senad Lulić,Jimmy Bullard,Aung San Suu Kyi,Wuhan Zall FC,Gerald Guralnik,Emma Goldman,Stadium Australia,Shandong Airlines,Manuel Valls,Samuel L Southard,Hausa language,Padmé Amidala,Donald Rumsfeld,John Paul Stevens,Maya Yoshida,Marco Di Vaio,Mary Todd Lincoln,Camellia,Michael Bloomberg,Sugathadasa Stadium,Thomas Hobbes,Mao Fumei,Carl Valeri,Zhang Yesui,Kamakura shogunate,Shaquille ONeal,Vegalta Sendai,Manco Inca Yupanqui,Duncan Oughton,Thomas Vermaelen,Animax Asia,Yūko Obuchi,Toumba Stadium,Aymara language,Luke P Blackburn,Aramaic alphabet,Lima footballer,Akkadian language,Khabarovsk Krai,Kawasakiku Kawasaki,Tocharian languages,Bulgarian language,Music Madonna album,Jay album,Huangchuan County,Altai Republic,Ali Abdullah Saleh,Naif Hazazi,Lakhdar Brahimi,Haj Ali Razmara,Beji Caid Essebsi,Bernard Mandeville,Asamoah Gyan,Rahm Emanuel,Yitzhak Rabin,Luigi Einaudi,Pedro I of Brazil,Marcel Desailly,Malcolm Fraser,Blerim Džemaili,Pietro Badoglio,Waldemar Pawlak,JeanPaul Sartre,Charles Evans Hughes,Matěj Vydra,Hakan Yakin,Fábio Aurélio,William Des Vœux,Mikaël Silvestre,Leandro Guaita,Klaus Augenthaler,Émile Borel,Tim Krul,John B Weller,Tom Hiddleston,John Curtin,ArabIsraeli conflict,Mariah Carey,Bertrand Delanoë,Kazuma Watanabe,William Golding,Aldous Huxley,Claude Makélélé,Brian Mulroney,John Archibald Wheeler,Suzuki Escudo,Kurt Alder,Carlos Duke of Parma,Levi Woodbury,Herman Van Rompuy,Montgomery Blair,Mohamed Ould Abdel Aziz
Naughty Dog	Nightwish,Pauleta,Ranger 6,Ranger 2,Nampo,North Sea,Mauritius,Naha,Quito,Yang Xu,Suzhou,Nintendo DS,SimCity,Sunny Hill,Nintendo DSi,Emilia Fox,WatchOS,Fuchū Tokyo,Inuyasha,Nexus 6P,Wally West,Wind song,Joachim Löw,Jacques Demy,Angus Young,Ledley King,Katy Perry,Yugawara,FC Goa,Katowice,Southern Tang,Gary Locke,Rainie Yang,Soft rock,Sergey Shoygu,Sakhalin,Jahangir,Luís Figo,Lyon,Marc Janko,Bashkirs,Andi Herzog,Naif Hazazi,Kashiwa,Oregon,Luo Gan,Tang Shaoyi,Mestizo,Qantas,Zhu Xi,Pakistan,Napoleon III,Guo Jinlong,Cao Cao,County Durham,Ruhrstadion,Cameroon,Lu Zhangong,Hard rock,Lu Xun,Sukhoi Su24,Nereu Ramos,Niels Bohr,Wang Zhen,Liu Yuzhang,Pyongyang,Cantonese,Hu Jintao,Shanghai,Maxis,GDragon,Nintendo 2DS,Egirls,Hitachi,EXID,MeeGo,Game Center,Michael Bay,Heartful,KisMyFt2,Gold Typhoon,Moon EP,Ich will,Wilber Pan,Chicken,David Stern,H EP,Kaká,Clang,New Horizons,Donnie Yen,IPhone 5S,Blake Ross,Over Load,Leessang,Jay album,Nexus 7 2012,Sorry Sorry,Carl Valeri,Naughty Dog
Carl Levin	Carl Valeri,Gary Locke,Fool Again,Avril Lavigne,Celeron,Bill Nelson,Berlin,Chris Weitz,Marc Janko,Chris Brown,Cao Cao,Wally West,Marion Raven,Corsier,Hakan Yakin,Pauleta,Gary Cahill,Oregon,Park Jungmin,Chicken,Sakhalin,Cape Colony,Camellia,Wang Zhen,Katy Perry,Ched Evans,Armenia,Cameroon,Croatia,Palencia,Haarlem,Valencian,Chrome OS,Hard rock,Cantonese,David Stern,Paris,Harold Urey,Jerry Moran,Hans Geiger,Conan OBrien,Carlos Santana,Ron Wyden,Zhu Xi,Patrick Leahy,Luo Gan,Yang Xu,Kurt Alder,Jahangir,John Curtin,Tong Liya,Zhang Yesui,Liu Jian,Mao Fumei,Ledley King,Senad Lulić,Miloš Zeman,Yanan,Lu Xun,Hebei,Yan Xishan,McLaren,AlQaeda,Sammir,Zhang Wentian,Chen Jianbin,Ovid,Heath Ledger,GDragon,Pope Leo IX,North Sea,West Java,Mari Kiviniemi,Clang,Iron Man,Jay album,Tuo Zhen,Cinemax,Ranger 2,Clojure,Maebashi,Brooklyn,Ranger 6,Yemen,Dordrecht,Mario Gómez,Confignon,Belize,Karakoram,Bulgaria,Yao people,Lyon,Delhi,Piedra Spain,Pakistan,Star Wars,Maxis,Club Atlas,Berbers,Carl Levin
Tajimi City	SimCity,Ordos City,Xiaomi Mi 2,Tim Krul,Mariah Carey,Sammir,Tigris,Salt Lake City,Camellia,Tong Liya,Thuringia,Liu Jian,Adam Smith,Rainie Yang,Samuel Alito,Malice Mizer,Mauritius,Chris Weitz,Taylor Swift,Cao Cao,Game Center,Harold Urey,Maebashi,Toyota Aichi,Kashiwa,Ho Chi Minh City,Jining,Hitachi,Sakhalin,Katowice,Quito,Nampo,Cape Colony,Palencia,Gujarat,Paraná state,Bashkirs,Animax Asia,Warwickshire,Dai Jiaoqian,Tang Shaoyi,Pakistan,Xiaomi,Kuniaki Koiso,Mao Fumei,Sunny Hill,AC Omonia,TRAX band,Kazuhiko Chiba,Ledley King,Tuo Zhen,Armenia,Yan Xishan,KisMyFt2,Exeter City FC,Mazda Cosmo,Cosmin Contra,Jahangir,Nicki Minaj,Cameroon,Valencian,TVBSAsia,HTC First,Luís Figo,Nightwish,Pauleta,Zhu Xi,Wang Zhen,William Chan,Yang Xu,David Stern,Maxis,Boeing 747,Gossip Candy,Jimmy Carter,Jacques Demy,FC Metz,Bob Carr,Patrick Leahy,Wind song,French Navy,Sukhoi Su24,Gary Cahill,Ich will,Joachim Löw,Carl Levin,Marion Raven,Katy Perry,Pat Roberts,Mario Gómez,Tomb Raider,Ranger 2,Ranger 6,Emilia Fox,Wally West,Chromecast,Chrome OS,Madrid,Yashio Saitama,Tajimi Gifu
Music Church Album	One Arashi album,Jay album,Force Superfly album,Monthly Comic Alive,Michael Bay,Michael Sheen,Kim Heechul,Fábio Aurélio,Kurt Alder,County Durham,Epicurus,Chuck Schumer,Hull City AFC,Good Charlotte,Coptic alphabet,Malice Mizer,Chris Brown,Club Atlas,Rose Bowl stadium,Arabic alphabet,Tianhe Stadium,Elvis Presley,Split Croatia,Marc Janko,Fuchū Tokyo,Victor Ponta,Microsoft Word,Mariah Carey,Nokia Lumia 800,Montgomery Blair,Tim Krul,Yūko Obuchi,Saint Barthélemy,Jules Bianchi,Fabio Capello,Electronic Arts,Anton Chekhov,Gary Cahill,Mauritius,Mong Kok Stadium,Ichihara Chiba,Samuel Alito,Yuan Shanshan,Airbus A330,Run Run Shaw,Chris Weitz,Peter Crouch,Yury Luzhkov,Kim Hyungil,North Carolina,Beji Caid Essebsi,John Curtin,Li Ruihuan,Eurico Gaspar Dutra,Túpac Huallpa,Liu Yuzhang,2014 Chinese FA Cup,Yitzhak Rabin,The Siren song,Together When,So Girls,Gossip Candy,Massachusetts,Egirls,Sunny Hill,Dischord Records,Ich will,Marion Raven,Star Awards 2001,Will Champion,Toumba Stadium,Chicken,Rivers Cuomo,Apple Watch,Modula2,Rose Bowl Game,Lost season 3,Suzuki Escudo,Mazda Cosmo,AMC TV channel,North Sea,Ruhrstadion,Hulk comics,Phil Spector,Qin Sheng,French Navy,McLaren,Kushan Empire,Hitachi,Aramaic alphabet,Mini DisplayPort,Seven Years War,Surface Pro 2,House of Vasa,Flora Finch,Carl Valeri,Roman Sharonov,Piedra Spain,Air Canada,Music Madonna album
Matsumoto Masaki	Daisuke Sakata,Takatsuki Osaka,House of Vasa,Kazuma Watanabe,Moshe Katsav,Atsugi Kanagawa,Asamoah Gyan,Waldemar Pawlak,Maebashi,Yashio Saitama,Mohamed Morsi,Mao Fumei,Mamadou Sakho,Kawasakiku Kawasaki,Manuel Valls,Milan Susak,Naif Hazazi,Pope Mark,Patty Murray,Malcolm Fraser,Marc Janko,Atromitos FC,Marion Raven,West Java,Hayato Ikeda,Mauritius,Takuya Terada,Kazuhiko Chiba,Rensuke Isogai,Hachinohe Aomori,Maya Yoshida,Suwa Nagano,Cristiano Zanetti,Miloš Zeman,Patrick Leahy,Matěj Vydra,Vlatko Grozdanoski,Hakan Yakin,Cao Cao,Marco Di Vaio,Mazda Cosmo,Toyota Aichi,Luo Gan,Ezequiel Garay,Pat Roberts,Malice Mizer,Pauleta,Carl Valeri,Ibaraki Osaka,Carlos Santana,Mario Gómez,Mariah Carey,Kamchatka Krai,Yokohama,Montgomery Blair,Cathay Pacific,Kashmiri language,Qantas,Iron Man,Astana,Naughty Dog,Botswana,Madagascar,Nanako Matsushima,Takashi Sorimachi,Haruna Kojima,Yuya Tegoshi,Yūko Obuchi,Amintore Fanfani,Tajimi Gifu,Mana Iwabuchi,Kawaguchi Saitama,Inuyasha,Dmitry Polyansky,Nedum Onuoha,Kashiwa,Setagaya,Zhang Yesui,Luigi Einaudi,Padmé Amidala,Vegalta Sendai,Nereu Ramos,Anwar Sadat,Yugawara,Lakhdar Brahimi,Rahm Emanuel,Haj Ali Razmara,Yokosuka Kanagawa,Fahri Korutürk,Giannis Maniatis,Cantonese,Mari Kiviniemi,Leessang,Marcel Desailly,Jack Kerouac,Haha entertainer,Blerim Džemaili,Samuel Alito,Dave Mustaine,Takeaki Matsumoto
Sham Shui Po Sports Ground	Samuel L Southard,San Antonio Spurs,Kara South Korean band,The Siren song,Philips Stadion,City Football Group,AC Sparta Prague,Fahri Korutürk,Sony Ericsson Xperia arc S,Takashi Sorimachi,CSX Transportation,Sherrod Brown,Yashio Saitama,London Underground,Chancellor of Germany,Shire of Winton,Pier Luigi Bersani,Donald III of Scotland,Samuel Alito,Northrop Corporation,Shimane Prefecture,Chris Brown,Phil Spector,David Stern,Microsoft Word,Luzhniki Stadium,Tianhe Stadium,Sugathadasa Stadium,Labour Party Hong Kong,Lhasa Gonggar Airport,2011 FA Community Shield,Asamoah Gyan,Gonchigiin Bumtsend,Tin Aung Myint Oo,Tongzhi Emperor,2014 AFC Presidents Cup,Swiss Super League,Star Mika Nakashima album,Octopuss Garden,Adam Smith,Giordano Bruno,Georges Pompidou,Even If Ken Hirai song,Huangchuan County,Empress Xiaoshurui,Soft rock,Stadium Australia,Ahmad Shah Bahadur,Sukhoi Su24,Yellow Coldplay song,Peter Crouch,Saint Barthélemy,Star Awards 2001,Fukui Prefecture,Shaquille ONeal,Nacho Monreal,Maria GoeppertMayer,Takeaki Matsumoto,The Rolling Stones,Mamadou Sakho,Takahito Prince Mikasa,Henri Brisson,Lu Wei politician,Yuan Shanshan,Love So Sweet,Édith Cresson,Mohamed Morsi,The Bourne Ultimatum,Empress Dowager Cian,Armen Sargsyan,Communist Party of Cuba,Cosmin Contra,OS X Mountain Lion,Luis Guillermo Solís,Warsaw Uprising,AlNusra Front,John Paul Stevens,University of Portland,Yokohama Station,Juan Antonio Samaranch,JeanPaul Sartre,Tom Hiddleston,Angus Young,Yamaguchi Prefecture,Lockheed P3 Orion,Pat Roberts,Sorry Sorry,Santander Spain,Kim Jiwon actress,National Front France,John Roberts,Windows Phone,Mong Kok Stadium,Staffordshire,Shropshire,Karaiskakis Stadium,Shandong Provincial Stadium,Toumba Stadium,Ho Chi Minh City,Sham Shui Po Sports Ground
List of Portuguese monarchs	List of counties in Arizona,List of parishes in Louisiana,Rise of Nations,Like a Virgin song,Syrian Armed Forces,Victor Ponta,Lima footballer,Left Party Sweden,Dischord Records,Party of Regions,Labour Party Hong Kong,Little Rock Arkansas,Western Yugur language,Luis Guillermo Solís,Lost season 3,Georgios Samaras,Kingdom of Yugoslavia,The Pretenders,Albanian Armed Forces,Party of Labour of Albania,Aksel V Johannesen,Nilo Peçanha,Édith Cresson,Notre Dame de Paris,City of Canada Bay,City Football Group,Otto Grotewohl,Octopuss Garden,Shire of Winton,Sony Pictures Animation,José Luis Rodríguez Zapatero,Los Angeles Clippers,Liberal Party Philippines,PFC Litex Lovech,Jules Bianchi,Georges Pompidou,Nanako Matsushima,Takashi Sorimachi,Nagano Prefecture,Iwate Prefecture,Microsoft Word,Viktor Chernomyrdin,Westwood Studios,Kitchen Nightmares,House of Hohenzollern,House of Vasa,Kingdom of England,Mayor of New Taipei,Carlos Duke of Parma,Pope Mark,Order of Australia,Emirate of Jabal Shammar,Pedro Pires,Dutch East Indies,Swiss Federal Council,Prudente de Morais,Todor Burmov,Penguin Books,Bert T Combs,Flora Finch,Perfume Japanese band,Atlantic Records,John Paul Stevens,The Chronicles of Narnia,Northwest Territories,Empress Dowager Cian,Robert Trivers,Bob Corker,Juan Antonio Samaranch,Latvian Higher League,Saint Barthélemy,Duchy of SaxeMeiningen,George Papandreou,Jimmy Carter,Norodom Monineath,Pat Roberts,JeanBaptiste Lamarck,201314 Premier League,West Virginia,Miloš Zeman,Yellow Coldplay song,Saint Paul Minnesota,Johann Gottfried Herder,Tibetic languages,Peter Crouch,The Siren song,Limbu language,Lamborghini Gallardo,Pietro Badoglio,Tom Hiddleston,Gilan Province,Gustav Ludwig Hertz,Colorado Rapids,Niklaus Wirth,Qiangic languages,Virgilio Barco Vargas,French Polynesia,Even If Ken Hirai song,Swiss Super League,List of Portuguese monarchs
Tulane University	Wuhan University,Clark University,Auburn University,Brown University,Inha University,Cornell University,Sichuan University,Brandeis University,Leiden University,Nankai University,Stanford University,Northeastern University,Tim BernersLee,Carrie Underwood,Salt Lake City,Robert Trivers,Malice Mizer,Sean Connery,Hans Geiger,San Jose State University,Conan OBrien,Blake Ross,Budapest,Elvis Presley,Newark New Jersey,Carl Valeri,Drake rapper,Tianhe Stadium,John Roberts,Milan Susak,Ronan Keating,The Siren song,Southend United FC,HTC First,Indiana Pacers,The Pretenders,Ho Chi Minh City,OneDrive,Gilan Province,Alan Sheehan,Game Center,Battle Fever J,Brian Wilson,Katy Perry,Mohamed Morsi,Mikaël Silvestre,Tang Shaoyi,Pat Roberts,Yuan Shanshan,Jules Bianchi,Wally West,Zhang Yesui,Brian Mulroney,Zhang Wentian,Tomb Raider,Qing dynasty,Niklaus Wirth,Yan Xishan,Dianne Feinstein,Cantonese,Dalian Shide FC,Worcestershire,Sunny Hill,Ordos City,Palencia,Paraná state,Cape Colony,Daraa Governorate,Lingya District,Toyota Aichi,Taiwanese people,Warsaw Uprising,Edward Livingston,Atlantic Records,Pedro Pires,Berbers,Haha entertainer,Donnie Yen,Hulk comics,Chandigarh,Hungarian forint,Adam Smith,The Hague,Roman Sharonov,Valencian,Tong Liya,Nagano Prefecture,Takatsuki Osaka,Bulgaria,Bill Nelson,Taylor Swift,John Sherman,Mana Iwabuchi,Tajimi Gifu,Heath Ledger,Sven Bender,SimCity,Eagle Airways,Gujarat,Tulane University
Pope Mark Valley	Jeff Merkley,Pope Leo IX,Pope Urban III,Pope John XXI,Pope Pius IX,Rose Bowl Game,Carl Valeri,John B Weller,Gerd Müller,Pope Stephen I,Pope Sixtus V,Pedro Pires,House of Vasa,Manuel Valls,Marc Janko,Lima footballer,Tomer Hemed,Cape Colony,Roger Wicker,Waldemar Pawlak,Bob Corker,Túpac Huallpa,Patty Murray,Love So Sweet,George Grenville,Dave Mustaine,UD Las Palmas,Together When,Pep Guardiola,Dont Wanna Cry,Mariah Carey,Pope Innocent VII,Pope Callixtus III,Senad Lulić,Coptic alphabet,Rose Bowl stadium,Pietro Badoglio,Heath Ledger,Elvis Presley,Peter Crouch,John Paul Stevens,Michael Bay,Robert Coontz,Piedra Spain,Daur language,Patrick Leahy,Saint Barthélemy,Robert Trivers,Forensic Heroes,Moshe Katsav,Conan OBrien,Gary Locke,Gary Cahill,Southern Tang,Seven Years War,Anwar Sadat,Bob Carr,Merrimack River,One Arashi album,Armen Sargsyan,Belgrade,Aldous Huxley,Harold Urey,Drake rapper,Mario Gómez,Heartful,Kurt Alder,Colorado Rapids,Salt Lake City,Red Skull,Gossip Candy,Good Charlotte,Herbert Blumer,Stefan Löfven,Sean Connery,The Hague,Socrates,Paraná state,Marion Raven,Claude Makélélé,Jay album,Leeuwarden,French Navy,Mong Kok Stadium,Wuhan Zall FC,So Girls,Park Jungmin,Copa Libertadores,Thomas Vermaelen,North Carolina,Haarlem,Tomb Raider,Sakhalin,Mao Fumei,Left Party Sweden,Star Wars,Angela Merkel,Sorry Sorry,Ezequiel Garay,Pope Mark
Al Ain Football Club	City Football Group,Lima footballer,Vålerenga Fotball,Wuhan Zall FC,Mali national football team,Cosmin Contra,Angels Fall First,Altai Republic,AC Sparta Prague,Alianza Lima,Brendon Šantalab,Ali Abdullah Saleh,Arabic alphabet,Chinese FA Cup,Blerim Džemaili,Hu Jintao,Alexandre Millerand,Levi Woodbury,Albert II of Belgium,Alan Sheehan,Arjen Robben,OS X Mountain Lion,Music Madonna album,Du riechst so gut,China Railways CRH3,Wales national football team,AS Monaco FC,Club Atlas,RCD Mallorca,AC Omonia,Ashkan Dejagah,Ho Chi Minh City,Athletic Bilbao,Villarreal CF,Belgian Pro League,AlNusra Front,Asamoah Gyan,UD Las Palmas,San Antonio Spurs,Toumba Stadium,Nacho Monreal,Tianhe Stadium,Animax Asia,Stadium Australia,Fabio Capello,Coptic alphabet,TRAX band,Aramaic alphabet,Split Croatia,Rose Bowl Game,Abdelaziz Bouteflika,Vlatko Grozdanoski,Salt Lake City,Force Superfly album,Manuel Valls,Airbus A330,William Chan,Ricardo Carvalho,One Arashi album,AMC TV channel,John B Weller,Air Canada,Penguin Books,Avril Lavigne,Seven Years War,Armen Sargsyan,Anders Fogh Rasmussen,Pietro Badoglio,Angelino Alfano,Victor Ponta,Otto Grotewohl,Dont Wanna Cry,Saint Barthélemy,Rolling Star,Marcel Desailly,Nintendo DSi,Túpac Huallpa,An Lushan Rebellion,Giordano Bruno,Bob Carr,Vincenzo Montella,St Albans,Claude Makélélé,Pope Urban III,Debbie Stabenow,Yashio Saitama,Ichihara Chiba,Nokia Lumia 800,Body Feels Exit,John Roberts,Jay album,Lin Fengjiao,Aldous Huxley,Fool Again,Nintendo 2DS,Swiss Federal Council,Agatha Barbara,Michael Bay,Elvis Presley,Al Ain FC
chicken	McLaren,Yemen,Bird,Yanan,Kaká,Jining,Luo Gan,GDragon,Oregon,Busan,Zenica,Brooklyn,Pakistan,Yunnan,Ich will,Epicurus,Zhu Xi,WatchOS,Egirls,Lu Xun,Linux,Celeron,Corsier,Lyon,Ovid,Xiaomi,Hebei,Tuo Zhen,Belize,Quito,Tigris,Haarlem,Akhenaten,Berlin,Nampo,Naha,Socrates,Americas,Pauleta,Berbers,AlQaeda,AWK,Qin Sheng,Leessang,ABBA,Goa,Gujarat,Chavacano,EXID,Delhi,Hitachi,Nevada,VIXX,Yang Xu,Sammir,Donnie Yen,Moon EP,Sakhalin,Cao Cao,Sendai,Liu Jian,Mestizo,Armenia,Katowice,H EP,Suzhou,Confignon,SS501,Budapest,Botswana,Croatia,Astana,Clang,Cameroon,FC Goa,Odawara,Bashkirs,Clojure,BASIC,Cinemax,Kashiwa,Valencian,Modula2,Alkmaar,Jahangir,Metz,Zhongshan,Belfast,TVBS,Wang Zhen,Maxis,GNU,MeeGo,SDN48,IOS,BBC One,Monaco,NTV7,Esbjerg,Chicken
Cosmin Contra	Gossip Candy,Victor Ponta,Robert Coontz,Confignon,Split Croatia,John Curtin,Air Canada,Sean Connery,Game Center,Corsier,AC Omonia,José Bosingwa,Moshe Katsav,Cape Colony,Conan OBrien,Carlos Santana,Coquitlam,Bob Corker,Kushan Empire,Donnie Yen,Croatia,Jimmy Carter,Bob Carr,Rolling Star,Cameroon,Chris Weitz,County Monaghan,John Roberts,Wind song,Yashio Saitama,Bosnian language,Guo Jinlong,Sorry Sorry,Cantonese,Carl Valeri,Cristiano Zanetti,Tomer Hemed,Sammir,Nacho Monreal,Clojure,Qin Sheng,Club Atlas,Matěj Vydra,FC Goa,Roman Sharonov,Mazda Cosmo,Fahri Korutürk,Monaco,Gordon Sprigg,Yokohama,Camellia,North Carolina,SimCity,Animax Asia,Lollipop F,North Sea,Bert T Combs,Ordos City,Soft rock,Sven Bender,Celeron,Mestizo,ND Gorica,Armenia,Jerry Moran,Émile Borel,Mohamed Morsi,Haruna Kojima,Cinemax,Al Ain FC,Astana,John Bercow,Cao Cao,David Stern,Arjen Robben,Adam Smith,West Java,Chandigarh,Mongol Empire,Gerald Ford,Zhang Wentian,Jeremy Bentham,Emilia Fox,Rainie Yang,Pope Mark,Jining,Penguin Books,DC Comics,Khmer Empire,Emma Goldman,Kashiwa,Hu Jintao,Ron Wyden,Niels Bohr,Ronan Keating,Chris Brown,Lost season 3,John Sherman,Chen Jianbin,Cosmin Contra
