Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
European Commission	European Commission,Caribbean Community,African Union,Susan Collins,Turkmenistan,Robert Lepikson,Fred Thompson,Brian Cowen,Lionel Jospin,Adrienne Clarkson,Burkina Faso,Czech Television,Mauno Koivisto,Dan Tichon,Adrian Smith,Mike Simpson,Jean Schmidt,Pascal Couchepin,United Russia,Emma Bonino,Daniel Toribio,Ben Cardin,Ernest Moniz,Michel Camdessus,Sam Johnson,Robin Cook,JPMorgan Chase,Julie Bishop,Mathias Cormann,Jean Charest,Juan Lozano,Kiran Desai,Tigran Torosyan,Boyko Borisov,Fulvio Rossi,Marju Lauristin,Ed van Thijn,Bogdan Borusewicz,Reuven Rivlin,Murat Zyazikov,Murtaza Rakhimov,Afghanistan,Brian Mikkelsen,Roman Herzog,Puerto Rico,Joseph Stalin,Rosen Plevneliev,Hillary Clinton,Laurent Fabius,Neritan Ceka
Tanya Plibersek	Tanya Plibersek,Tony Blair,Danny Pieters,Nancy Pelosi,Katy Perry,Jan Pronk,Ian Paisley,Mary McAleese,Jan Olszewski,Cape Verde,Angela Merkel,Candice Bergen,Sanna Marin,Dawn Primarolo,Mark Kirk,Frank Jensen,David Emerson,Satya Nadella,Marek Jurek,Jay Carney,Pete Peterson,Tatars,Penny Pritzker,Tanja Fajon,Rosen Plevneliev,Dale Bumpers,Dan Boren,Cantabria,Mario Blejer,Hans Hillen,Mauno Koivisto,Hanno Pevkur,Hanja Maij-Weggen,Nandan Nilekani,Mary Landrieu,Sonny Perdue,Alain Berset,TotalEnergies,Waseda University,Hans Blix,Holy See,Harvard University,Karen Ellemann,Ana Palacio,Rebiya Kadeer,Phil Robertson,Greta Thunberg,Carla Del Ponte,Wales,Dan Burton
Mauritania	Mauritania,Mauritius,Sardinia,Saudi Arabia,Buryatia,Pakistan,Romania,Bulgaria,Estonia,Taiwan,Guyana,Lithuania,Madrid,Madeira,Latvia,Suriname,Catalonia,Eritrea,Cantabria,Dagestan,Argentina,Iran,Tajikistan,Russia,Slovakia,Marat Tajin,Mart Laar,Yair Lapid,Nauru,Burundi,France,Madagascar,Burkina Faso,Meretz,Tatars,Vietnam,Portugal,Eswatini,Neritan Ceka,Israel,Spain,Ukraine,Turkmenistan,Iceland,Abu Darda,Paul Biya,Kadima,Tariq Aziz,Mark Kirk,Paul Ryan
Vladimir Rusakevich	Vladimir Markin,Vladimir Yegorov,Vladimir Voronin,Vladimir Kozhin,Vladimir Yevtushenkov,Uladzimir Nyaklyayew,Vladimir Vasilievich Rusakevich,George Radanovich,Jim Risch,Alain Madelin,Academia Sinica,Viktor Basargin,Valentin Yumashev,Vladimir Georgiyevich Titov,Valdis Birkavs,Rumen Radev,Volodymyr Khandohiy,Vlad Filat,Bogdan Borusewicz,Dzhokhar Dudayev,James Langevin,Volodymyr Lytvyn,Yair Lapid,Claudio Huepe,Harri Holkeri,Hamid Karzai,Aamir Khan,Marilyn Musgrave,Gerasimos Arsenis,Law and Justice,Sajid Javid,Charlie Baker,Amr Waked,Chadli Bendjedid,Nikolai Levichev,Mintimer Shaimiev,Ivan Rybkin,George Voinovich,Valeriy Horbatov,Andriy Sadovyi,Valentin Pavlov,Karim Massimov,Dimitrij Rupel,Vagit Alekperov,Nadiya Savchenko,Michael Dukakis,Bogdan Klich,Davit Bakradze,Mark Rutte,United Russia
Heinz Fischer	Heinz Fischer,Tim Fischer,Rick Boucher,Jim Risch,Peter Hintze,Bill Ritter,Hans Hillen,Dean Heller,John Linder,Edwin Feulner,Ernie Fletcher,Toivo Asmer,Dan Tichon,Jon Tester,Arlene Foster,Lodewijk Asscher,Penny Pritzker,Kevin Spacey,Henrik,Rein Lang,Peter Welch,Werner Hoyer,Erwin Huber,John Warner,Eiki Nestor,Hugo Banzer,Ken Starr,Leszek Miller,Per Unckel,Hezbollah,Anke Fuchs,Eric Holder,Bernd Lange,Danny Pieters,David Vitter,Odilo Scherer,Jerry Weller,John Boehner,Ian Paisley,Celso Lafer,Luiz Gushiken,Julie Bishop,Yves Cochet,Ivor Richard,Olene Walker,Pavel Grachev,Hanno Pevkur,Devin Nunes,Eliot Spitzer,Tzipi Livni
Helen Clark	Helen Clark,Ken Starr,Willy Claes,Gwen Moore,Henrik,Robin Cook,Rein Lang,Allan Rock,Anson Chan,Helen Liddell,Andrew Card,Hezbollah,Tony Blair,Steven Chu,Stephen Solarz,Kevin Brady,Mike Crapo,Fidel Castro,Ben Cardin,Jean Charest,Henk Kamp,Elon Musk,Holy See,Iceland,Honduras,Argentina,Theresa May,Peter Welch,Olene Walker,Nigel Evans,Barney Frank,Mark Kirk,Jean Spautz,Senegal,Kevin Rudd,Ahmed Galal,Elena Salgado,Steve Bracks,Al Gore,James Florio,Salman Khan,Peter Hintze,Dean Heller,Eliane Karp,Vlad Filat,John Tsang,Brian Cowen,Redha Malek,Guido Carli,Devin Nunes
Gilles de Robien	Gilles de Robien,Gilles Duceppe,William Cohen,Bill Shorten,Lionel Bowen,Michel Mercier,Bill Ritter,Arlene Foster,Urho Kekkonen,Pierre Werner,Jacques Delors,Laurent Fabius,Carles Puigdemont,Bill Bradley,Yves Cochet,Michel Barnier,Gwen Moore,Allan Rock,George Habash,Richard Caborn,Ted Poe,Marine Le Pen,James Langevin,Ernest Moniz,Rosen Plevneliev,Walter Momper,Howard Coble,Greg Walden,Lionel Jospin,Nancy Pelosi,Willy Claes,Bruce George,Bill Young,James Florio,Tim Holden,Yves Leterme,Nikolay Dobrev,Liese Prokop,Siv Jensen,Fleur Pellerin,Bill Gates,Vince Cable,Sierra Leone,Oliver Letwin,Steve Rothman,Michael E. Ryan,Olene Walker,Carla Del Ponte,Piet Hein Donner,Giuseppe Pisanu
Democratic Left Alliance	Democratic Left Alliance,Democratic Unionist Party,Doris Leuthard,Secretary of state,New Democratic Party,Arab League,Republic of Artsakh,Christine Albanel,David L. Aaron,Nicole Ameline,Jean-David Levitte,Demetris Christofias,Movement for France,Oskar Lafontaine,Javier Solana,David Ben-Gurion,Deutsche Bahn,Patricia Scotland,Sierra Leone,Forza Italia,African Union,Council of Europe,Oliver Letwin,General Electric,Nikolai Levichev,Dieter Althaus,University of Chile,Jim Prentice,Douglas Alexander,Lamar Alexander,Patrick Ollier,Commonwealth of Nations,Jorge Illueca,Vincent Peillon,Anne McLellan,Dean Heller,George Osborne,Dmitry Livanov,Davit Bakradze,Bernd Lange,Loyola de Palacio,Timothy J. Keating,Tarcisio Bertone,Bruno Le Maire,Robert Zoellick,Moderate Party,John R. Allen,Terry McAuliffe,Netherlands,Donald M. Payne
Marialiese Flemming	Marilies Flemming,Marine Le Pen,Morris Iemma,Maria Elena Boschi,Karen Ellemann,Marie Bashir,Marisa Matias,Mary Fallin,Mathias Cormann,James Florio,Mario Blejer,Chris Grayling,Michel Suleiman,Melissa Bean,Mark Binskin,Ernie Fletcher,Michael Flynn,Margaritis Schinas,Marat Tajin,Marcus Stephen,Carlos Slim,Barbara Prammer,Christine Egerszegi,Brigitte Zypries,Nicole Ameline,Marilyn Musgrave,Christine Albanel,Gerald Klug,Arlene Foster,Werner Faymann,Taslima Nasrin,Alice Rivlin,Pascal Couchepin,Naftali Bennett,Maurizio Lupi,Marko Mihkelson,Chelsea Manning,Yuriy Ilyin,Oliver Letwin,Mario Barletta,Michel Mercier,Masahide %C5%8Cta,Carlos Menem,Candice Bergen,Tarcisio Bertone,Pascal Canfin,Barney Frank,Michael Bloomberg,Adrian Smith,Carlos Tevez
Peter Welch	Peter Welch,Peter Wittig,Peter DeFazio,Peter Hintze,Peter Phillips,Jerry Weller,George Weah,Dave Weldon,Peter Cosgrove,Pete Peterson,Norm Kelly,Pierre Werner,Dean Heller,Jim Risch,Meretz,Dieter Althaus,Kate Brown,Olene Walker,Paulo Maluf,Redha Malek,Greg Walden,Pedro Solbes,Werner Hoyer,Per Unckel,Jerry Lewis,Ahmed Galal,Helen Clark,Hezbollah,Pieter Winsemius,Anke Fuchs,GSK plc,Amr Waked,Gerd Leers,Senegal,Fine Gael,Peronism,Puerto Rico,Pavel Grachev,Katy Perry,Grace Kelly,Meir Dagan,Paul Reeves,Ed Balls,Steven Chu,Netherlands,Nigel Evans,Jim Molan,Ken Starr,Henrik,Israel
Siv Jensen	Siv Jensen,Frank Jensen,Sam Johnson,Rick Larsen,Tim Holden,Jon Tester,Jim Risch,Kit Bond,Jim Saxton,Dan Boren,Jim Doyle,Ron Wyden,Dave Weldon,Alain Berset,Jim Bunning,Jim Molan,Al Green,Stavanger,Hu Jintao,Benin,Poul Nielson,David Ige,Eric Cantor,John Linder,Per Unckel,Mike Simpson,Jim Ramstad,Paul Reeves,Els Borst,Toivo Asmer,Tim Fischer,Dean Heller,Henrik,Jay Carney,Eiki Nestor,Eric Holder,Fidesz,Bendt Bendtsen,Steve Daines,Bram Peper,Arne Duncan,Rein Lang,Ted Poe,Mark Binskin,Smile,Hans Hillen,Shas,Steven Chu,David Johnston,Dipu Moni
Central European University	Central European University,Seoul National University,Yerevan State University,Charles University,Vilnius University,Waseda University,Rutgers University,Toronto Metropolitan University,Moscow State University,Peking University,Harvard University,York University,Jawaharlal Nehru University,European Commission,McGill University,Central America,General Electric,Central Intelligence Agency,Caribbean Community,General Motors,Chantal Jouanno,Henri Emmanuelli,Canadian Army,TotalEnergies,Canadian Armed Forces,Andreas Loverdos,Monika Wulf-Mathies,Naftali Bennett,Beniamino Andreatta,Raffi Hovannisian,William Luther Pierce,Denis Berezovsky,Carolyn McCarthy,Reuven Rivlin,Kostas Karamanlis,Bank of America,Catalonia,United Arab Emirates,Israeli Labor Party,French Armed Forces,Christian Estrosi,Celso Lafer,Karel Schwarzenberg,Petar Gra%C4%8Danin,Peeter Kreitzberg,Tigran Torosyan,Franz Vranitzky,Ole von Beust,Moderate Party,Michel Barnier
Steven Chu	Steven Chu,Steven Mnuchin,Stavanger,Steve Rothman,Anson Chan,Steve Bracks,Steve Daines,Helen Clark,Kevin Rudd,Nuon Chea,Lee Teng-hui,Salman Khan,Senegal,Robin Cook,Stephen Solarz,David Ige,Andrew Card,John Key,Satsuki Eda,Steny Hoyer,Yves Cochet,Ted Poe,Rein Lang,Luis Cruz,Ole von Beust,Milan Uhde,Siv Jensen,Smile,Stephen Hadley,Josef Lux,Kevin Brady,Boeing,Chechnya,Henrik,Ed van Thijn,Meretz,PepsiCo,Devin Nunes,Yevhen Marchuk,Lesotho,Suriname,Sony,Peronism,Benin,Sardinia,Peter Welch,Jack Lew,Don Young,Mike Crapo,Kenji Goto
Lesotho	Lesotho,Morocco,Le Point,Meretz,Belgium,Estonia,Israel,Russia,Cisco,PepsiCo,Latvia,Napoleon,Benin,Senegal,Gabon,Libya,Vietnam,Nokia,Nokia,Google,Spain,Comoros,Henrik,Greece,Sony,Dagestan,Ukraine,Romania,Iceland,Pakistan,Guyana,Taiwan,Iran,Lazard,Peronism,Madrid,Ted Poe,Fidesz,Sicily,Madeira,Nauru,IBM,Burundi,France,Wales,Fiji,Tatars,Brunei,Guam,UNICEF
Roger Etchegaray	Roger Etchegaray,Robert Mugabe,Moderate Party,Vern Buchanan,Robert J. Bentley,Ivor Richard,Robert E. Cramer,Theresa May,The Bahamas,Portugal,Rick Boucher,Montenegro,Rob Nicholson,Nigel Evans,Richard Ottaway,Norbert Lammert,Robert Lepikson,Ralph Eberhart,Tom Steyer,Ken Starr,Anne McLellan,Chet Edwards,Noel Davern,Joseph Estrada,Roman Herzog,Jorge Illueca,Rosen Plevneliev,Yves Cochet,Karen Ellemann,Joseph Stalin,Per Unckel,Pablo Escobar,French Navy,Robert Zoellick,Peter DeFazio,Pat Buchanan,Morgan Tsvangirai,Javier Solana,French Army,Thad Cochran,Nabil Elaraby,Rebecca Harms,Odilo Scherer,Rutgers University,Jochen Borchert,Joe Lieberman,Leonid Kozhara,Meir Sheetrit,Rosa Aguilar,Donna Shalala
José María Michavila Núñez	Marco Maciel,Marisa Matias,Susana Martinez,Martha McSally,Marko Mihkelson,Mary McAleese,Jean-Michel Baylet,Jos%C3%A9 Mar%C3%ADa Michavila,Susana Malcorra,Rosa Aguilar,Jos%C3%A9 Mujica,Jos%C3%A9 Vicente Rangel,Kaspar Villiger,Jos%C3%A9 Montilla,Donna Shalala,Kakha Kaladze,John Sarbanes,Michael Flynn,Hanja Maij-Weggen,Jutta Urpilainen,Barbara Mikulski,Ryszard Kalisz,Wolfgang Ischinger,Osama bin Laden,Aosta Valley,JPMorgan Chase,John Hickenlooper,Forza Italia,J. Jayalalithaa,T. Michael Moseley,Joachim Gauck,Jaume Matas,Tarek William Saab,Maria Elena Boschi,Joel Villanueva,Babacar Gaye,Loyola de Palacio,Huda Salih Mahdi Ammash,Pasqual Maragall,Mario Barletta,Joaqu%C3%ADn Balaguer,Joseph Muscat,Evo Morales,John Abizaid,Shintaro Ishihara,Roberta Pinotti,Leszek Miller,Redha Malek,Roger Etchegaray,Mario Blejer
Steny H. Hoyer	Steny Hoyer,Werner Hoyer,Olene Walker,John R. Allen,Gwen Moore,Steve Daines,Stephen Solarz,Stephen Hadley,Dean Heller,Norbert Hofer,Penny Pritzker,Sonny Perdue,Cory Booker,Allan H. Meltzer,Robert E. Cramer,Arlene Foster,Anthony G. Brown,Tom Steyer,Steve Rothman,Stephen F. Lynch,Robin Hayes,Eric Holder,John Linder,Steve Bracks,Ken Starr,John Boehner,Steven Chu,Dan Boren,Jerry Weller,Laurenz Meyer,Lionel Bowen,Arnold Koller,John Kufuor,Celso Lafer,Piet Hein Donner,Hans Hillen,Ted Poe,Heinz Fischer,Erwin Huber,Stavanger,John Warner,Danny Pieters,Jon Tester,Sergio Diez,General Motors,Kenji Goto,Renato Soru,South Korea,Sierra Leone,Peter Hintze
Nokia Corporation	Lib%C3%A9ration,Phil Robertson,Norm Coleman,Novartis,Mike Crapo,David Johnston,Tom Carper,Mathias Cormann,Jair Bolsonaro,Sofia Voultepsi,Robin Cook,Thad Cochran,Jutta Urpilainen,Nokia,Nokia,Joris Voorhoeve,Napoleon,South Korea,European Commission,Eiki Nestor,Sanna Marin,Mike Simpson,Yukiya Amano,Comoros,Tanja Fajon,Forza Italia,James Florio,Fernando Lorenzo,Jim Prentice,David Emerson,Jerry Moran,Corina Casanova,Mark Dayton,Richard Branson,Eric Cantor,Ben Cardin,Rob Nicholson,John Danforth,Joe Crowley,Jim Molan,Marisa Matias,Jim Saxton,Mel Carnahan,Dan Burton,Pedro Carmona,Paul Martin,Nabil Elaraby,Connie Morella,Daniel Toribio,Noel Davern
Mikhail Saakashvili	Mikheil Saakashvili,Mikhail Gorbachev,Mikhail Margelov,Bidzina Ivanishvili,Michael Dukakis,Michael Fallon,Michel Camdessus,Lakhdar Brahimi,Michel Barnier,Michael Howard,Marie Bashir,Nikolai Patrushev,Michael Ignatieff,Mintimer Shaimiev,Richard Danzig,Michael Flynn,Mike Simpson,Viktor Basargin,Viktor Stepanov,Vitaliy Masol,Fidel Castro,Oskar Lafontaine,Michael E. Ryan,Andriy Sadovyi,Richard Branson,Kakha Kaladze,Taslima Nasrin,Michael Bloomberg,Richard Dannatt,Michel Mercier,Antonis Samaras,Nikitas Kaklamanis,Giannis Ragousis,Curtis Scaparrotti,Makiko Tanaka,Mehdi Bazargan,Michael Spindelegger,Michael Koc%C3%A1b,Murtaza Rakhimov,Wangari Maathai,Michel Suleiman,Mel Carnahan,Donna Shalala,Khakassia,The Bahamas,Nikolai Levichev,Boris Nemtsov,Eiki Nestor,M. Karunanidhi,Ali Abbasov
Herman Van Rompuy	Herman Van Rompuy,Roman Herzog,Henk Kamp,Antanas Mockus,Christina Romer,Franz Vranitzky,Canadian Army,Hassan Rouhani,Jan Kohout,African Union,Fernando Flores,Jean Schmidt,Rein Lang,Werner Faymann,Adrian Smith,Fernando Lorenzo,Allan Rock,Werner Hoyer,Walter Momper,Eric Cantor,Neritan Ceka,Sebastian Kurz,Ernesto Samper,Renato Soru,Marion Barry,John Danforth,Bernd Lange,Gerald Klug,Gerrit Zalm,Harrison Ford,Emmanuel Macron,Emma Bonino,Salman Khan,Leon Panetta,Omar Bongo,Spanish Army,Hanno Pevkur,Gerda Hasselfeldt,Jadranka Kosor,Brian Cowen,Ian Paisley,Ivan Safronov,French Army,General Motors,Aosta Valley,Iberian Peninsula,Caribbean Community,Carla Del Ponte,Theresa May,Osama bin Laden
Marcelo Ebrard	Marcelo Ebrard,Marion Barry,Barney Frank,Marco Maciel,Mart Laar,Marek Jurek,Miguel Arraes,Michael Howard,Darrell Issa,Iceland,Madeira,Nigel Evans,Gabriel Oprea,Mark Kirk,Fidel Castro,Andrew Card,Harrison Ford,Mark Warner,Angela Merkel,Chet Edwards,Javier Solana,Mario Blejer,Mike Crapo,Ralph Eberhart,Harald Kujat,Pablo Escobar,Manuel Valls,Marie Bashir,Mark Pryor,Nabil Elaraby,Indrek Tarand,Hannelore Kraft,Pavel Tigrid,Makiko Tanaka,Samuel Schmid,Madrid,Fareed Zakaria,Cape Verde,Nancy Pelosi,Port Said,Laurent Fabius,Norbert Lammert,Marcus Stephen,Jacques Delors,Jacques Chirac,Theresa May,Raymond Barre,Lazard,Duncan Kerr,Joseph Estrada
Dragoljub Ojdanić	Dragoljub Ojdani%C4%87,Arab League,Mauritania,Nigel Evans,Paul Ryan,David Libai,Salman Khan,France Cukjati,Srgjan Kerim,Dipu Moni,South Sudan,Joseph Stalin,Kristiina Ojuland,Dagestan,Javier Solana,Amanullah Khan,Ku Klux Klan,Yaakov Edri,Sajid Javid,Tony Blair,Dzhokhar Dudayev,Napoleon,Romania,Tajikistan,Lithuania,Jelko Kacin,Port Said,Saudi Arabia,L. K. Advani,Harald Kujat,Anson Chan,Daniel Scioli,Borut Pahor,Hugo Banzer,Marat Tajin,Pavel Tigrid,Paulo Maluf,Sardinia,Dan Burton,Don Young,Arnold Koller,Paul Biya,Paul Martin,Ernest Moniz,Sanna Marin,Carlos Santana,Tommy Lapid,Alu Alkhanov,Geoff Davis,Bob Graham
Fine Gael	Fine Gael,Senegal,Fidesz,Vince Cable,Rand Paul,Vietnam,Israel,Bill Gates,Rein Lang,Honduras,Ahmed Galal,Iceland,Holy See,Finns Party,Greece,Mike Crapo,Portugal,Eliane Karp,Henk Kamp,Tony Blair,Fidel Castro,Port Said,Madeira,France,Ed Balls,Fiji,Lionsgate,French Navy,Guyana,Al Green,Robin Hayes,Libya,Dagestan,Kit Bond,Nuon Chea,Edi Rama,Jim Doyle,Nigel Evans,Lionel Bowen,Argentina,Ken Starr,Bob Taft,Mart Laar,Cape Verde,Spain,John Key,Ted Poe,Yash Ghai,Belgium,Jack Lew
Napoleon Bonaparte	Napoleon,Lucien Bouchard,Raymond Barre,Marion Barry,Carolyn McCarthy,Dale Bumpers,Jochen Borchert,Solomon Passy,Harrison Ford,Noel Davern,Carlos Santana,John Danforth,Walter Momper,Jean Spautz,Leon Panetta,Ralph Eberhart,Stephen Solarz,Dan Boren,Helen Clark,Nikolay Dobrev,Pablo Escobar,Nabil Elaraby,Nicole Ameline,Makiko Tanaka,John Boehner,Gwen Moore,Naftali Bennett,Fareed Zakaria,Paolo Gentiloni,Marilyn Musgrave,Jason Chaffetz,Allyson Schwartz,Jair Bolsonaro,Cape Verde,Javier Solana,Salman Khan,Lionsgate,Paul Martin,Gabriel Oprea,Joseph Muscat,John Warner,Norm Coleman,Dan Burton,Victor Ponta,Paul Biya,Charlie Baker,Arnold Koller,Pietro Lunardi,Al Gore,Hugo Banzer
Christine Egerszegi	Christine Egerszegi,Christine Albanel,Christian Estrosi,Christine Haderthauer,Christina Romer,Cristina Garmendia,Kristina Keneally,Christoph Blocher,Chaim Herzog,Chris Huhne,Alain Berset,Marine Le Pen,Chris Grayling,Candice Bergen,Chris Murphy,Justin Trudeau,Chiang Kai-shek,Kristiina Ojuland,Marilies Flemming,Catherine Tasca,Neritan Ceka,Brigitte Zypries,Arlene Foster,Gaston Flosse,Catherine Ashton,Sebastian Kurz,Adrienne Clarkson,Zbigniew Messner,Yuli Edelstein,Chadli Bendjedid,Frank Jensen,Pierre Werner,Tarcisio Bertone,Dianne Feinstein,Gerasimos Arsenis,Joris Voorhoeve,David Emerson,Ernie Fletcher,Kiran Desai,Pier Luigi Bersani,Valentin Yumashev,Charlie Baker,Marie Bashir,Doris Leuthard,Davit Bakradze,Eiki Nestor,Maria Elena Boschi,Eric Garcetti,Andris Piebalgs,Roman Herzog
University of Waterloo	University of Waterloo,University of Cape Town,University of Ottawa,University of Chile,University of Sussex,University of New Brunswick,University of Buenos Aires,University of the Philippines,Valeriy Horbatov,Secretary of state,United Arab Emirates,Celso Lafer,Pete Peterson,Ernesto Samper,Andreas Loverdos,Melchior Wathelet,Jerry Weller,Yves Leterme,Norbert Hofer,Rodrigo Rato,Pierre Werner,Sergey Menyaylo,Gerrit Zalm,Robert E. Cramer,American University of Beirut,David L. Aaron,United Nations,Bank of America,Church of Greece,Fine Gael,Moderate Party,David Emerson,Neritan Ceka,Toivo Asmer,Uri Rosenthal,Robert Mugabe,Bill Ritter,Sergio Diez,Puerto Rico,Republic of Artsakh,David Vitter,Charlie Baker,Jair Bolsonaro,Filippo Mancuso,Takeaki Matsumoto,Anne Hidalgo,Dave Weldon,Peter Welch,Betty Boothroyd,Guido Carli
Beverley Hughes	Beverley Hughes,Devin Nunes,Werner Hoyer,Rebecca Harms,Chris Huhne,Steve Daines,Pierre Werner,Bill Gates,Dale Bumpers,Steny Hoyer,Jerry Weller,Marek Jurek,Stephen Hadley,George Weah,Anke Fuchs,George Habash,Erwin Huber,Patrick M. Hughes,Barney Frank,Yves Cochet,Bernd Lange,Lee Kun-hee,Pedro Solbes,Willy Claes,Pavel Tigrid,Jerry Lewis,General Motors,Pavel Grachev,Robert Mugabe,Peter Hintze,Arlene Foster,Robin Hayes,Paul Reeves,Nigel Evans,Helen Liddell,Kevin Rudd,Dean Heller,Greg Walden,Steven Chu,Bruce George,Marie Bashir,Brian Cowen,Peter Welch,Bill Ritter,Olene Walker,Eric Holder,Leszek Miller,Peter Phillips,Arne Duncan,Bram Peper
Milan Uhde	Milan Uhde,Allan Rock,Salman Khan,Roland Koch,Al Gore,Rumen Radev,Anson Chan,Dan Boren,Willy Claes,Bill Gates,Nuon Chea,Brian Cowen,Elon Musk,France,Ron Wyden,Kiran Desai,Lionsgate,Kevin Rudd,Holy See,Marek Jurek,Vlad Filat,Bram Peper,Chris Huhne,Jan Kohout,Mark Rutte,Madrid,Erwin Huber,Steven Chu,David Ige,Jan Pronk,Mike Crapo,Mozambique,Hans Blix,Iceland,Celso Lafer,Lazard,Mart Laar,Rein Lang,Neritan Ceka,John Linder,Mark Kirk,Dean Heller,Tim Holden,Al Green,Ted Poe,Alain Berset,Dan Tichon,Ed van Thijn,Yash Ghai,Duncan Kerr
Christine Haderthauer	Christine Haderthauer,Christine Egerszegi,Christine Albanel,Christina Romer,Cristina Garmendia,Christoph Blocher,Berkshire Hathaway,Kristina Keneally,Christian Estrosi,Chris Huhne,Doris Leuthard,Connie Hedegaard,Tarcisio Bertone,Christos Stylianides,Justin Trudeau,Chris Murphy,Charlie Baker,Ernie Fletcher,Chiang Kai-shek,Pascale Bruderer,Didier Burkhalter,Dieter Althaus,Jacqueline Cramer,Louise Arbour,Corina Casanova,Marie Bashir,Erwin Huber,Uri Rosenthal,Catherine Tasca,Arlene Foster,Rebiya Kadeer,Marisa Matias,Pierre Werner,Neritan Ceka,Carolyn McCarthy,Jane Harman,Kristiina Ojuland,Marilyn Musgrave,Susana Martinez,Marine Le Pen,Irina Yarovaya,Candice Bergen,Matti Vanhanen,Chaim Herzog,Chris Grayling,Beniamino Andreatta,Joseph Prueher,Werner Hoyer,Hartmut Bagger,Eliane Karp
Jim Molan	Jim Molan,Jim Doyle,Tim Holden,Jim Saxton,Jim Risch,Jerry Moran,Wim Kok,Jim Ramstad,Jim Bunning,Bob Dole,Dan Boren,Jaume Matas,Norm Coleman,Juan Lozano,Kit Bond,Dipu Moni,Meir Dagan,Tom Udall,Shaul Mofaz,Sam Johnson,Brian Cowen,Don Young,Bill Young,Ron Wyden,Dick Marty,Norm Kelly,Jan Pronk,Ted Poe,Ahmed Galal,Al Gore,Joe Crowley,Emma Bonino,Vlad Filat,Ed Balls,Gwen Moore,Edi Rama,Jan Kohout,John Tsang,Jane Harman,Paul Ryan,Rein Lang,Els Borst,Piet Bukman,Eric Holder,Pio Laghi,Al Green,Idi Amin,Evo Morales,Siv Jensen,Aamir Khan
Valentin Yumashev	Valentin Yumashev,Valentin Pavlov,Valentin Inzko,Alexei Mordashov,Pavel Grachev,Valeriy Horbatov,Walter Kasper,Saken Zhasuzakov,Gennady Troshev,Pavel Astakhov,Oleh Liashko,Rumen Radev,Marie Bashir,Ali Abbasov,Devin Nunes,Alain Berset,Robert Mugabe,Walter Momper,Gaston Flosse,Dale Bumpers,Kevin Spacey,Arlene Foster,Olene Walker,Nikolai Patrushev,Vladimir Yegorov,Vitaliy Masol,Yulia Tymoshenko,Arsen Avakov,Dzhokhar Dudayev,Valdis Birkavs,Nikolai Levichev,Patrick Mayhew,Takeshi Onaga,Marek Jurek,Henri Emmanuelli,Antonis Samaras,Gabi Zimmer,Francis Maude,Violeta Bulc,Solomon Passy,Elon Musk,Claudio Huepe,Ian Paisley,Denny Tamaki,Osama bin Laden,Fulgencio Batista,George Habash,Erwin Huber,Karen Ellemann,JPMorgan Chase
Frans Timmermans	Frans Timmermans,Frank Jensen,Hans Hillen,Frank Swaelen,Gabi Zimmer,Joe Lieberman,Jane Harman,Carles Puigdemont,Danny Pieters,Dale Bumpers,Karen Ellemann,Jens Weidmann,Fred Thompson,Dan Tichon,Brian Mikkelsen,Norbert Lammert,Bram Peper,Jan Pronk,Mathias Cormann,David Emerson,Norm Coleman,Dan Burton,Omar Torrijos,France,Morris Iemma,Roman Herzog,John Linder,John Tsang,Arne Duncan,John Sarbanes,Valdis Birkavs,Paul Simon,Juan Lozano,Dan Boren,Paul Tsongas,Dean Heller,Anne McLellan,France Cukjati,Denny Tamaki,Gianni Letta,Francis Maude,Jeff Bingaman,Anand Satyanand,Candice Bergen,Brian Cowen,Jon Tester,Yves Leterme,Irene Pivetti,French Army,Kiran Desai
Vietnam	Vietnam,Guyana,Benin,Guam,Suriname,Libya,Taiwan,Portugal,Romania,Estonia,Iran,Belgium,Russia,Spain,Argentina,Pakistan,Greece,Boeing,Iceland,Fidesz,Latvia,Sicily,Madeira,Senegal,Burundi,France,Brunei,Fiji,Gabon,Honduras,Eritrea,Tatars,Nokia,Nokia,Israel,Ukraine,Meretz,Airbus,Dagestan,Lithuania,Sony,Tuva,Sufism,Henrik,Palau,Cisco,Peronism,Shas,Chechnya,Madrid
