Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Olha Bohomolets	Ulla Schmidt,Jan Kohout,Oleg Lobov,Anna Eshoo,The Bahamas,Emma Bonino,Ole von Beust,Els Borst,Dale Bumpers,Omar Bongo,Elizabeth Dole,John Boehner,Bob Dole,Ilkka Suominen,Evo Morales,Claudia Nolte,Cory Booker,Redha Malek,Lars Barfoed,Oleg Belaventsev,Iliana Iotova,Vlad Filat,Pedro Solbes,Claudio Huepe,Jair Bolsonaro,Yves Cochet,Ed Balls,Alain Berset,Albio Sires,Mario Barletta,John Sarbanes,Howard Coble,Jean Schmidt,Gwen Moore,José Bono,Fernando Flores,John Brumby,Rick Boucher,Ahn Cheol-soo,John Danforth,Susan Collins,Omar Torrijos,Google,Al Gore,Gérard Longuet,Sam Johnson,Lloyd Doggett,Michael Bloomberg,Éric Raoult,Olha Bohomolets
Madrid	Madeira,Audi,Lazard,Henrik,Kadima,Nauru,Latvia,Nokia,Nokia,Wales,Gabon,Mauritius,Benin,Palau,Fiji,Meretz,Fidesz,Sardinia,Åland,Tatars,Gazprom,Spain,Guam,France,Iran,Morocco,Russia,Taiwan,Libya,Cisco,Smile,Boeing,Cantabria,Airbus,Burundi,Brunei,Google,Sicily,Sony,Eritrea,Comoros,Tuva,UNICEF,Shas,EH Bildu,ÖBB,HSBC,PepsiCo,Mark Kirk,Madrid
Rebiya Kadeer	Robin Hayes,Redha Malek,Rein Lang,Satya Nadella,Rebecca Harms,Gabi Zimmer,Rick Larsen,Jerry Weller,Rumen Radev,Celso Lafer,Walter Kasper,Leo Varadkar,Holy See,Melissa Bean,Yukiya Amano,Theresa May,Monika Harms,Neritan Ceka,Yahya Khan,Leire Pajín,Bibiana Aído,Babacar Gaye,Toivo Asmer,Robin Cook,Olene Walker,Stephen Hadley,John Warner,Rob Andrews,Marie Bashir,Duncan Kerr,Angela Merkel,Jay Carney,Bill Ritter,Devin Nunes,Gibraltar,Eric Holder,Eric Cantor,Marisa Matias,Anil Kakodkar,Mark Warner,Dean Heller,Kakha Kaladze,Kevin Brady,Mario Blejer,Bill Gates,David Vitter,Hugo Banzer,Milan Uhde,Bill Bradley,Rebiya Kadeer
Chantal Jouanno	Juan Lozano,Catalonia,Charlie Melançon,Daniel Toribio,Lionel Jospin,Cantabria,Shaul Mofaz,Hassan Rouhani,Tanja Fajon,Sanna Marin,Pascal Canfin,Yukiya Amano,Taro Kono,Omar Bongo,Emma Bonino,Chris Huhne,Mathias Cormann,Manuel Valls,Ana Palacio,Giancarlo Galan,Dan Boren,Enda Kenny,Yahya Khan,Charlie Baker,Don Young,Frank Jensen,Sam Johnson,Chet Edwards,Johannes Hahn,Paul Ryan,Bill Young,Corazon Aquino,Lionel Bowen,Salman Khan,Central America,Greta Garbo,Christine Albanel,Corina Casanova,Jean Spautz,François Goulard,Connie Morella,Neritan Ceka,Carla Del Ponte,Pascal Couchepin,Charles Pasqua,Anne Hidalgo,Anna Eshoo,Martha McSally,Jan Kohout,Chantal Jouanno
John R. Allen	John E. Sununu,John Warner,John F. Tierney,John Key,John Linder,John Redwood,John Sarbanes,John Boehner,John Danforth,John Abizaid,Johannes Hahn,Dean Heller,John Brumby,John Kufuor,Hans Hillen,Joe Crowley,Tony Blair,John Tsang,Jon Tester,John Dawkins,Joseph Stalin,Ron Wyden,Urho Kekkonen,David L. Aaron,Todd Akin,Norm Kelly,José E. Serrano,L. K. Advani,Lionel Bowen,Jim Doyle,Greg Walden,Jean Asselborn,Jerry Weller,Dan Boren,Anne McLellan,Arnold Koller,Tom Udall,Toivo Asmer,Tim Holden,Moshe Arens,Jorge Illueca,Jim Molan,Ian Paisley,Josef Pröll,José Montilla,Aosta Valley,Joyce Quin,Johnny Isakson,Frank Swaelen,John R. Allen
Catherine Tasca	Catherine Ashton,Carolina Tohá,Charles Pasqua,Marie Bashir,Sheikh Hasina,Charlie Baker,Marisa Matias,Corina Casanova,Satsuki Eda,Marine Le Pen,Marat Tajin,Leire Pajín,Peter DeFazio,Jacqueline Cramer,Rein Lang,Makiko Tanaka,Marion Barry,Walter Kasper,Gabriel Oprea,Cantabria,Masahide Ōta,Peter Welch,Chris Huhne,Bernd Lange,Darrell Issa,Carlos Tevez,Patrick Mayhew,Catalonia,Fine Gael,Kaushik Basu,Jane Harman,Vitaliy Masol,Herbert Bösch,Maher al-Assad,Arne Duncan,Moderate Party,Chechnya,Theresa May,Joseph Muscat,Kate Brown,Christine Albanel,Joachim Gauck,Burkina Faso,Lothar Bisky,Netherlands,Javier Solana,Olene Walker,Mauritania,Jaume Matas,Catherine Tasca
Alberto Bustamante Belaunde	Alberto Fernández,Alberto Fujimori,Alberto João Jardim,Andrés Pastrana Arango,Alfredo Barnechea,Roberto Fernández Retamar,Aloízio Mercadante,Abdurrahman Wahid,Vern Buchanan,Abdus Samad Azad,Anders Samuelsen,Bruno Stagno Ugarte,Carlos Santana,Umberto Bossi,Robert Mugabe,Terry Branstad,Anand Satyanand,Artur Rasizade,Pier Luigi Bersani,Christine Albanel,Carol Moseley Braun,Aleksandar Vulin,Ole von Beust,Alexander Medvedev,Oleg Belaventsev,Neritan Ceka,Algirdas Butkevičius,Kristiina Ojuland,Oleg Ostapenko,Piet Bukman,Ahmet Davutoğlu,Melissa Bean,Pat Buchanan,Alastair Goodlad,Amnesty International,Deutsche Bahn,Solomon Islands,Robert J. Bentley,Mario Barletta,Jorge Castañeda Gutman,Norbert Röttgen,Adán Martín Menis,Oskar Lafontaine,Gerda Hasselfeldt,José Vicente Rangel,Joaquín Balaguer,René Teulade,Ernesto Samper,Pedro Aguirre Cerda,Alberto Bustamante Belaúnde
Vitaliy Masol	Vitaly Churkin,Ali Abbasov,Eiki Nestor,Karim Massimov,Paulo Maluf,Yair Lapid,Dick Marty,Marco Maciel,Gladys Marín,Vittorio Grilli,Ignazio Cassis,Alain Madelin,Sanna Marin,Jaume Matas,Kaushik Basu,Francis Maude,Gavin Newsom,Marie Bashir,Jyoti Basu,Giovanni Lajolo,Nicolás Maduro,Tanja Fajon,Rand Paul,Vince Cable,Willy Claes,Sally Jewell,Bill Gates,Charlie Baker,Elon Musk,Julie Bishop,Kiran Desai,Catalonia,Sajid Javid,Fine Gael,Fianna Fáil,Andriy Sadovyi,Vladimir Markin,Viktor Stepanov,Yuriy Ilyin,Fidel Castro,Solomon Passy,Oleg Lobov,Valeriy Horbatov,Dmitry Livanov,Mikhail Margelov,Milan Uhde,Vlad Filat,Burkina Faso,Nikolay Dobrev,Vitaliy Masol
Jacob J. Lew	Jack Markell,Josef Lux,Rob Andrews,John Key,Jay Carney,Marek Jurek,Jack Layton,Jon Tester,Bob Dole,Marco Maciel,Holy See,Cape Verde,John Warner,John R. Allen,Jim Doyle,Paul Reeves,Tom Steyer,Gary Locke,David Ige,Mark Warner,John Linder,Jerry Lewis,James Florio,Jason Chaffetz,David Vitter,Bob Graham,Jerry Weller,Jan Pronk,Frank Jensen,Jan Kohout,Bob Taft,Joe Crowley,Rick Larsen,Mario Blejer,Hans Hillen,Dan Boren,Nancy Pelosi,Mark Rutte,Taro Kono,Eliot Engel,Tom Carper,Joachim Gauck,Marine Le Pen,Hugo Banzer,Siv Jensen,Jaume Matas,Lech Wałęsa,Hugo Swire,David Dreier,Jack Lew
Nikitas Kaklamanis	Apostolos Kaklamanis,Kostas Karamanlis,Giorgos Kaminis,Kostas Skandalidis,Panagiotis Lafazanis,Kakha Kaladze,Viktor Basargin,Petar Gračanin,Neritan Ceka,Piet Bukman,Nikola Pejaković,Yukiya Amano,Nandan Nilekani,Antonis Samaras,Dimitris Sioufas,Michael Dukakis,Sotirios Hatzigakis,Giannis Ragousis,Christos Stylianides,Lucas Papademos,Anastasios Peponis,Davit Bakradze,Viktor Khristenko,Natascha Kampusch,Milan Kučan,Mathias Cormann,Nikolai Patrushev,Viktor Stepanov,Nadiya Savchenko,Monika Harms,Makiko Tanaka,Ana Palacio,Radovan Karadžić,Radovan Karadžić,Anil Kakodkar,Marisa Matias,Pascal Canfin,Hamid Karzai,Dieter Althaus,Nabil Elaraby,Nigel Evans,Norodom Sihamoni,Norm Coleman,Amitabh Bachchan,Vangelis Meimarakis,Jānis Jurkāns,Dimitrios Grapsas,Dimitrios Droutsas,Pavlos Geroulanos,Nikitas Kaklamanis
Terry E. Branstad	Jerry Moran,Gerrit Braks,Jerry Brown,Tony Blair,Vern Buchanan,Robert E. Cramer,Jerry Lewis,Jim Ramstad,Richard Branson,Terry McAuliffe,Sherry Rehman,Thierry Mariani,Hervé de Charette,Turkmenistan,The Bahamas,H. R. McMaster,Robert J. Bentley,Peter Hintze,Nigel Evans,John E. Sununu,Fidel Castro,Pierre Werner,Mark Binskin,Herbert Bösch,Alfred Sant,Kevin Brady,Andrus Ansip,Melissa Bean,Theresa May,Eric Cantor,José E. Serrano,Barney Frank,Jennifer Granholm,Jerry Weller,Lars Barfoed,Karen Ellemann,Carlos Santana,Andrew Lansley,Mário Soares,Tommy Lapid,Pedro Carmona,Leon Panetta,Mario Barletta,Lech Wałęsa,Thad Cochran,Indrek Tarand,Jean Charest,Mel Carnahan,Bernd Lange,Terry Branstad
Patrick J. Hillery	Patrick M. Hughes,Patrick Ollier,Patrick Mayhew,Eric Holder,Harri Holkeri,Patricia Scotland,Leszek Miller,Hans Hillen,Robert J. Bentley,John R. Allen,Jack Markell,Peter Phillips,Jerry Weller,Stephen Hadley,David Vitter,Marek Jurek,Mark Warner,Dean Heller,Mario Blejer,Arnold Koller,David Dreier,Jay Rockefeller,Grace Kelly,Chuck Grassley,Rick Boucher,Marion Barry,Mark Kirk,Marco Maciel,Ian Paisley,Martha McSally,Marie Bashir,Frédéric Cuvillier,Marine Le Pen,Eli Lilly,Gabi Zimmer,John F. Tierney,T. Michael Moseley,Tony O'Reilly,David L. Aaron,F. W. de Klerk,Norm Kelly,Michael Fallon,Allan H. Meltzer,Raymond Kelly,Pierre Werner,Robert E. Cramer,Martin McGuinness,Dick Marty,Nick Raynsford,Patrick Hillery
Jan Pronk	Jan Kohout,Dan Burton,Dan Boren,Napoleon,Henrik,José Bono,Le Point,Allan Rock,Rand Paul,Don Young,Jay Carney,Dan Tichon,John Tsang,Ted Poe,Kate Brown,Juan Lozano,Nancy Pelosi,Barney Frank,Gabon,Kit Bond,Taro Kono,Mark Pryor,Wim Kok,Jane Harman,Gazprom,Madrid,Iran,Honduras,Josef Pröll,Rein Lang,Bram Peper,John Warner,Pakistan,Jean Spautz,Taiwan,Al Green,Jack Lew,Mark Kirk,Lazard,Gary Locke,Paul Ryan,Sony,Joe Crowley,Ken Starr,Roman Herzog,Gwen Moore,Göran Persson,Sanna Marin,Jim Doyle,Jan Pronk
Manuel Chaves González	Manuel Valls,Javier Hernández,Daniel Scioli,María Jesús Montero,Lincoln Chafee,Michel Barnier,Paul Tsongas,Miguel Arraes,Ian Paisley,Noel Davern,Michel Camdessus,Jean Charest,Emmanuel Macron,Melchior Wathelet,Karel De Gucht,Michael Kocáb,Manfred Kanther,Paul Reeves,Vince Cable,Mel Carnahan,Carla Del Ponte,Saken Zhasuzakov,T. Michael Moseley,Carlos Andrés Pérez,Javier Diez Canseco,Carlos Tevez,Carlos Holmes Trujillo,Carlos Menem,Isabel Carrasco,Raúl Rivero,Daniel Toribio,Jason Chaffetz,Baltasar Garzón,Don Manzullo,Hugo Banzer,Mike Crapo,Walter Kasper,Pavel Grachev,Jacques Santer,Joe Crowley,Michel Mercier,Chuck Grassley,Marko Mihkelson,Michael Fallon,Fidel Castro,Carolina Tohá,Oleg Belaventsev,Michal Kováč,Artur Rasizade,Manuel Chaves (politician)
Emma Bonino	Omar Bongo,José Bono,Jim Bunning,Enda Kenny,Romania,Estonia,Le Point,Catalonia,Tony Blair,Boeing,Eswatini,Benin,Kit Bond,Jim Molan,Dipu Moni,Taro Kono,Dan Boren,Juan Lozano,Els Borst,Ukraine,Spain,Kate Brown,Sardinia,Ed Balls,EH Bildu,Susan Collins,Todd Akin,Mark Binskin,Jim Doyle,Anna Eshoo,Sanna Marin,Eric Holder,Tim Holden,Dick Spring,Bill Young,Anna Fotyga,Eric Cantor,Hugo Banzer,Don Young,Ana Brnabić,Ernest Moniz,James Florio,Sam Johnson,Gabon,Tommy Lapid,Marat Tajin,Paul Biya,Cory Booker,Hervé Morin,Emma Bonino
Noel Davern	Raúl Rivero,Norm Coleman,Tom Carper,Geoff Davis,Al Green,Paul Martin,Lionel Bowen,John Warner,Nigel Evans,Ben Cardin,Mark Dayton,John Dawkins,Bob Dole,Greg Walden,Celso Lafer,Meir Dagan,Ron Wyden,Bill Gates,Fidel Castro,Norm Kelly,Tom Steyer,Dan Boren,John Danforth,Paul Reeves,Steve Daines,Ken Starr,Arne Duncan,Robin Hayes,Bram Peper,Paul Ryan,Mel Carnahan,Hugo Banzer,Jack Layton,Ted Poe,Gerd Leers,Jim Saxton,Jon Tester,Abu Darda,Melissa Bean,Amr Waked,John Linder,Mark Warner,Yves Leterme,Olene Walker,John Key,Gwen Moore,Bill Ritter,Bob Taft,Todd Akin,Noel Davern
Mark Shuttleworth	Mark Rutte,Mark Warner,Mark Pryor,Mark Dayton,Mark Kirk,Marek Jurek,Marko Mihkelson,Mario Blejer,Mario Barletta,Rick Santorum,Mary McAleese,Meir Sheetrit,Mark Binskin,John Danforth,Tom Steyer,David Vitter,Bill Ritter,Bill Shorten,Dan Burton,Marcus Stephen,Dale Bumpers,Rick Boucher,Rick Scott,Dick Celeste,Jack Lew,Lauch Faircloth,Frank Swaelen,Mary Fallin,George Shultz,Mart Laar,Jack Layton,Borut Pahor,Earl Blumenauer,Mary Landrieu,South Korea,Masahide Ōta,Marilies Flemming,Kiro Gligorov,Paul Otto,Mirko Cvetković,Carla Del Ponte,York University,Karl Schlögl,Lord Chancellor,Mike Simpson,Jack Markell,Jay Weatherill,Lloyd Axworthy,Nick Raynsford,Mark Shuttleworth
Kostas Karamanlis	Nikitas Kaklamanis,Kostas Skandalidis,Apostolos Kaklamanis,Giorgos Kaminis,Petar Gračanin,John Sarbanes,Joseph Stalin,Aosta Valley,Pope Francis,Pasqual Maragall,Karolos Papoulias,The Bahamas,Lucas Papademos,Mathias Cormann,Pascal Canfin,Moshe Arens,Monika Harms,Kakha Kaladze,South Korea,Radovan Karadžić,Radovan Karadžić,Ron DeSantis,Cristina Garmendia,Hassan Rouhani,Baltasar Garzón,Hamid Karzai,Forza Italia,Ryszard Kalisz,Donna Shalala,Jane Harman,United Nations,Romania,Mauritania,Port Said,Netherlands,Andris Piebalgs,M. Karunanidhi,Antonis Samaras,Valdis Birkavs,José E. Serrano,Josef Pröll,Jānis Jurkāns,John Warner,Werner Faymann,Joseph Estrada,Douglas Alexander,Gladys Marín,Rosen Plevneliev,Aivaras Abromavičius,Kostas Karamanlis
Jim Langevin	Jim Bunning,Jim Saxton,Pio Laghi,Jim Doyle,Jim Molan,Jim Ramstad,Rick Larsen,Tim Holden,Rein Lang,Siv Jensen,Jim Risch,Jim Prentice,Jay Carney,Joe Lieberman,Ben Cardin,Jeff Bingaman,Bernd Lange,Tom Carper,Jack Layton,John Linder,Alain Madelin,Uzi Landau,Zhu Rongji,Ed van Thijn,Yair Lapid,Latvia,Meir Dagan,Kim Kyong-hui,Stavanger,Norm Coleman,Romania,Lithuania,Jack Lew,Tom Steyer,Mark Binskin,Tim Fischer,Jack Markell,Al Green,Jerry Lewis,James Florio,Paul Martin,Salman Khan,Jay Weatherill,Noel Davern,Dan Boren,Jon Tester,John Danforth,John Warner,Tommy Lapid,James Langevin
Doris Leuthard	Boris Nemtsov,Dennis Daugaard,Morris Iemma,Chris Huhne,Ivor Richard,Lucien Bouchard,Yury Luzhkov,Port Said,Eiki Nestor,Uri Rosenthal,Marie Bashir,Marisa Matias,David Libai,David L. Aaron,Mart Laar,Eric Cantor,Chris Murphy,Elizabeth II,Connie Hedegaard,David Vitter,Gerd Leers,Rosa Aguilar,Edwin Feulner,Modibo Keïta,Jon Tester,Yves Leterme,Douglas Hurd,Borut Pahor,Mário Soares,Leonid Kozhara,Sorin Cîmpeanu,Joris Voorhoeve,Portugal,Pakistan,Arab League,Vietnam,Adrian Smith,Rein Lang,Josef Lux,Louise Arbour,Bram Peper,Vern Buchanan,Monica Lewinsky,Norm Kelly,Tim Fischer,Norm Coleman,Marcelo Ebrard,Ken Starr,Marine Le Pen,Doris Leuthard
Todd Akin	Idi Amin,Ted Poe,Tariq Aziz,Nokia,Nokia,Port Said,Joyce Quin,Tony Blair,Paul Ryan,Don Young,Edi Rama,Tom Udall,Bob Taft,Audi,Tommy Lapid,Toivo Asmer,José Bono,Rand Paul,John Key,Boeing,Taro Kono,Le Point,Bob Dole,Moshe Arens,Benin,John Tsang,Enda Kenny,John Dawkins,Hans Blix,Ron Wyden,Lê Duẩn,Sardinia,Novartis,Ze'ev Elkin,Ivan Rybkin,Holy See,Madrid,Mark Kirk,Spain,Norm Kelly,Henrik,Bill Young,Romania,Roland Koch,Slovakia,Tom Steyer,Tim Holden,Josef Lux,Geoff Davis,Todd Akin
John Claggett Danforth	John Karefa-Smart,José Manuel Barroso,John Warner,Norbert Lammert,John Sarbanes,Lord Chancellor,John Boehner,Jean-Claude Gaudin,John E. Sununu,Johannes Hahn,John Redwood,John F. Tierney,José E. Serrano,Mark Shuttleworth,John Linder,John Tsang,John Kufuor,John Dawkins,Jacques Delors,Jean Charest,Leon Panetta,Jon Tester,John Hickenlooper,José Vicente Rangel,Moderate Party,José Alencar,José Ramos-Horta,Jean-Pierre Raffarin,Blagovest Sendov,Justicialist Party,John R. Allen,Alfred Sant,Norm Coleman,Roland Koch,Douglas Alexander,James Florio,Richard Dannatt,John Key,Josh Frydenberg,Charlie Baker,John Abizaid,James Langevin,Jean Asselborn,Eric Cantor,Tony Blair,Tom Carper,Joachim Gauck,Lloyd Doggett,Noel Davern,John Danforth
Margaritis Schinas	Marat Tajin,Marisa Matias,Mauritania,Mauritius,Patricia Scotland,Mark Binskin,Morris Iemma,Wangari Maathai,Argentina,Morgan Tsvangirai,Dimitris Sioufas,Maurizio Lupi,Mário Soares,Panagiotis Beglitis,Martin McGuinness,Mahathir Mohamad,Gerasimos Arsenis,Jacques Chirac,Javier Solana,Madagascar,Marcus Stephen,Mart Laar,Daniel Scioli,Academia Sinica,Dimitrios Grapsas,Carlos Slim,Carlos Santana,Martin Bursík,François Loos,Pat Buchanan,François Patriat,Tajikistan,Narcís Serra,Masahide Ōta,Vladimir Kozhin,Lamberto Dini,Antonis Samaras,Matti Vanhanen,Marilies Flemming,François Zimeray,Martha McSally,Marie Bashir,Chris Huhne,Bulgaria,United Nations,Karl Schlögl,Karolos Papoulias,Oscar Luigi Scalfaro,Panagiotis Lafazanis,Margaritis Schinas
Alfred Sant	Andrew Card,Ahmed Galal,Bernd Lange,Ashraf Ghani,Amartya Sen,Anwar Sadat,Al Green,Manfred Kanther,Søren Gade,Port Said,Jacques Santer,Mart Laar,Rein Lang,Eric Cantor,Péter Polt,Al Gore,Indrek Tarand,Ted Poe,Aamir Khan,Alu Alkhanov,Albio Sires,Rand Paul,Anson Chan,Adrian Smith,Nigel Evans,Vlad Filat,Ken Starr,Leire Pajín,Allan Rock,Eliane Karp,Bob Taft,Andrew Lansley,Barney Frank,Taro Kono,Amr Waked,Amy Adams,Meir Dagan,Le Point,Gerrit Zalm,Alfredo Barnechea,Fine Gael,Åland,Dagestan,Apple Inc.,Adobe Inc.,Josef Lux,Chris Huhne,Mark Rutte,George Weah,Alfred Sant
Mohammad Ali Raja'i	Mohammad Hamid Ansari,Mohammad Reza Pahlavi,Mohammad Beheshti,Liaquat Ali Khan,Muhammad Habibur Rahman,Muammar Gaddafi,Lamar Alexander,Edi Rama,Ahmed Galal,Taha Yassin Ramadan,Mahathir Mohamad,John Abizaid,Marat Tajin,David Libai,Osama bin Laden,Hamid Karzai,Harald Kujat,Joaquín Almunia,Nandan Nilekani,Douglas Alexander,Emmanuel Macron,Giancarlo Galan,Loyola de Palacio,Michael E. Ryan,Donald M. Payne,Ayaan Hirsi Ali,Salman Khan,Maher al-Assad,Mehdi Bazargan,Fareed Zakaria,Hassan Rouhani,Quamrul Hassan,Khaleda Zia,Jalaluddin Haqqani,Ashraf Ghani,Mümtaz Soysal,Shaul Mofaz,Michael Fallon,Moza bint Nasser,Nabil Elaraby,Charlie Baker,Masahide Ōta,Vlad Filat,Jaume Matas,Wangari Maathai,Tanja Fajon,Maria Elena Boschi,France Cukjati,Chadli Bendjedid,Mohammad-Ali Rajai
Comoros	Honduras,Romania,Morocco,Tatars,Google,Estonia,Iran,Cisco,Madrid,Novartis,Gazprom,Napoleon,Wim Kok,Nauru,Wales,Gabon,Lesotho,Eritrea,Nokia,Nokia,Airbus,Sony,Vietnam,Portugal,Belgium,Ukraine,Boeing,Guyana,Henrik,Iceland,Russia,Taiwan,Spain,Greece,Bulgaria,Israel,Smile,Slovakia,Lazard,Shas,Peronism,Holy See,Ted Poe,Al Gore,IBM,Benin,Burundi,Bob Dole,Senegal,Comoros
Taro Kono	Napoleon,José Bono,Mark Kirk,Omar Bongo,Taiwan,Paul Otto,Gary Locke,Ted Poe,Kit Bond,Dipu Moni,Tariq Aziz,Jan Kohout,Mart Laar,Jan Pronk,Gabon,Morocco,Gábor Vona,Mark Pryor,Wim Kok,Iran,Pakistan,Ukraine,Kenji Goto,Le Point,Rein Lang,Port Said,Mauno Koivisto,Sony,Don Young,Todd Akin,Jack Lew,Sardinia,Norm Kelly,Paul Ryan,Bill Young,Boeing,Urho Kekkonen,Roland Koch,Mark Warner,Emma Bonino,Kate Brown,Mário Soares,John Key,Rand Paul,Sam Johnson,Puerto Rico,Carlos Slim,Dan Boren,Microsoft,Taro Kono
Giorgos Kaminis	Kostas Karamanlis,Giannis Ragousis,Nikitas Kaklamanis,George Habash,Jelko Kacin,Geoff Davis,Gerasimos Arsenis,Antonis Samaras,Apostolos Kaklamanis,George Voinovich,George Radanovich,Norodom Sihamoni,Thierry Mariani,George Shultz,Pio Laghi,Guido Carli,George Weah,Carlos Menem,Jürgen Ligi,Eswatini,Jörg Haider,Zoran Đinđić,John Dawkins,Siiri Oviir,Marisa Matias,Marco Maciel,Taro Kono,Steve Daines,Morris Iemma,Igor Klimov,George Osborne,Corazon Aquino,Pedro Carmona,Nigel Evans,Carlos Santana,Marat Tajin,Carlos Slim,Gladys Marín,Port Said,Sotirios Hatzigakis,Dimitrios Grapsas,Ignazio Cassis,Georgi Bliznashki,Moshe Arens,Michael Dukakis,Srgjan Kerim,András Bozóki,Grigory Yavlinsky,John Sarbanes,Giorgos Kaminis
Herbert Kickl	Herbert Bösch,Norbert Hofer,Norbert Blüm,Werner Hoyer,Per Unckel,Lamberto Dini,Mark Kirk,Gerrit Braks,Henrik,Puerto Rico,Gerald Klug,Jürgen Ligi,Peter Wittig,Robert Zoellick,Harald Kujat,Umberto Bossi,Peter Welch,Ernest Moniz,Gary Locke,Sergio Diez,Gerrit Zalm,Hervé Morin,Jelko Kacin,Yehudah Glick,Jerry Moran,Helen Liddell,Robert Mugabe,Helen Clark,Jerry Brown,Henk Kamp,Neritan Ceka,Jerry Lewis,Turgut Özal,Meretz,Jørgen Kosmo,Telefónica,Adobe Inc.,Walter Kasper,Werner Faymann,Lothar Bisky,Reinhard Klimmt,Peter Hintze,Hartmut Bagger,Norbert Röttgen,Bernd Lange,Eliot Engel,Heinz Fischer,George Weah,Josef Pröll,Herbert Kickl
Aosta Valley	Redha Malek,Norm Kelly,Forza Italia,Port Said,South Korea,Stavanger,Josef Pröll,Rosa Aguilar,Arnold Koller,Vince Cable,Ed Balls,Ana Palacio,Ahmed Galal,Olene Walker,Eli Lilly,Kaspar Villiger,Dean Heller,Amr Waked,Manuel Valls,Martha McSally,Joe Crowley,John Warner,Andrew Lansley,Mary Fallin,Robin Hayes,Jay Carney,Ian Paisley,Bill Bradley,Hans Hillen,John Key,Tom Carper,Donna Shalala,Jerry Weller,Greg Walden,Greta Garbo,Tom Udall,Grace Kelly,Bob Dole,Leszek Miller,Portugal,Wales,Albio Sires,Sanna Marin,South Sudan,Tanja Fajon,Ernesto Samper,Guido Carli,Abu Darda,Toivo Asmer,Aosta Valley
Joseph Crowley	Joseph Prueher,Joseph Stalin,Joseph Estrada,Joseph Muscat,Josef Pröll,Joseph Stiglitz,Joseph Ki-Zerbo,Howard Coble,Josep Piqué,Aosta Valley,John Key,Josef Lux,José Bono,Lionel Bowen,Bill Bradley,Brian Cowen,Stephen Hadley,Jim Doyle,Kate Brown,Jay Carney,Yves Cochet,Josef Pühringer,John Brumby,Bob Dole,Jerry Brown,South Korea,Simon Coveney,John Redwood,Pope Francis,Mike Crapo,John Warner,Susan Collins,Angelo Scola,Péter Polt,Tom Carper,Andrew Lansley,Ian Paisley,Moshe Arens,Victor Ciorbea,Robin Cook,Dean Heller,John Boehner,John Sarbanes,Robert Mugabe,Arnold Koller,Josh Frydenberg,Jerry Weller,Edward Snowden,James Florio,Joe Crowley
Mozah bint Nasser Al Missned	Turki bin Faisal Al Saud,Tamim bin Hamad Al Thani,Hamad bin Khalifa Al Thani,Maher al-Assad,Khalid bin Sultan Al Saud,Taslima Nasrin,Zbigniew Messner,Christine Albanel,Alain Madelin,T. Michael Moseley,Taha Yassin Ramadan,Mintimer Shaimiev,Mahathir Mohamad,Ayaan Hirsi Ali,Melchior Wathelet,Osama bin Laden,Jean Asselborn,Mohammad Hamid Ansari,Alain Berset,Robin Hayes,Marine Le Pen,Susana Martinez,Yasuhiro Nakasone,Dieter Althaus,John Sarbanes,John Warner,Ignazio Cassis,Movement for France,Médecins Sans Frontières,Royal Australian Air Force,John R. Allen,John F. Tierney,Hafez al-Assad,Sheikh Hasina,Marat Tajin,Longin Pastusiak,Mark Binskin,John Abizaid,Sanna Marin,Monika Harms,Marie Bashir,Muhiuddin Khan Alamgir,Adán Martín Menis,Marisa Matias,Mary Fallin,Marilies Flemming,Baltasar Garzón,Karim Massimov,Joaquín Almunia,Moza bint Nasser
